record_type,depth,candidate,rank,coord_or_prefix,epsilon_or_face,mu_or_site,flux_weight,flux_share
ring_node,2,3:3:8,6,3,q=3,site=2,406.754383345391,0.0413851517675998
ring_node,2,3:3:8,7,1,q=2,site=2,400.58327063140274,0.0407572730115238
ring_node,2,3:3:8,8,2,q=2,site=0,391.8139523415706,0.0398650402952142
ring_node,2,3:3:8,9,2,q=3,site=0,386.0913738619983,0.0392827975743582
ring_node,2,3:3:8,10,1,q=3,site=2,363.1199523096252,0.0369455744092541
cell,3,1:2:8,1,112,1111,1,1.6938363415424464,0.2842193342298567
cell,3,1:2:8,2,110,1111,1,1.0867831537395576,0.1823581044003362
cell,3,1:2:8,3,330,1111,-1,0.8661747029598352,0.1453408404130754
cell,3,1:2:8,4,332,1111,-1,0.69454612110951,0.1165422132541531
cell,3,1:2:8,5,2,1111,0,0.4907339349574039,0.082343298969829
cell,3,1:2:8,6,0,1111,0,0.4742791581551263,0.0795822496329223
cell,3,1:2:8,7,322,0111,1,0.1347158727295241,0.0226048141241985
cell,3,1:2:8,8,132,1110,1,0.1121884328645237,0.0188247948842623
cell,3,1:2:8,9,130,1110,1,0.1046679108171116,0.0175628797175172
cell,3,1:2:8,10,100,1101,1,0.0671425598949747,0.0112662677047419
ring_node,3,1:2:8,1,11,q=4,site=2,1.4867562839013664,0.2494720834645127
ring_node,3,1:2:8,2,11,q=4,site=0,1.0436074568052571,0.1751133856889628
ring_node,3,1:2:8,3,33,q=4,site=1,0.7727724073269208,0.1296682883315956
ring_node,3,1:2:8,4,33,q=4,site=0,0.6474835425761833,0.1086452905055823
ring_node,3,1:2:8,5,0,q=4,site=1,0.4450869508990326,0.0746839076222228
ring_node,3,1:2:8,6,0,q=4,site=2,0.4330749638333699,0.0726683416062809
ring_node,3,1:2:8,7,11,q=4,site=1,0.2502557545753803,0.0419919694767173
ring_node,3,1:2:8,8,33,q=4,site=2,0.140464874166241,0.0235694748300505
ring_node,3,1:2:8,9,32,q=3,site=1,0.1112048893463162,0.0186597600003865
ring_node,3,1:2:8,10,13,q=3,site=1,0.1014146269224495,0.0170169909796716
cell,3,1:2:9,1,0,1111,0,853.3242056945776,0.035706109444451
cell,3,1:2:9,2,2,1111,0,667.2261842069694,0.0279191085855879
cell,3,1:2:9,3,112,1111,1,592.1956389936338,0.0247795646218918
cell,3,1:2:9,4,332,1111,-1,539.8632784707676,0.022589793161237
cell,3,1:2:9,5,22,1110,0,514.7940213779425,0.021540806584419
cell,3,1:2:9,6,232,0111,0,487.6377552402587,0.020404492151588
cell,3,1:2:9,7,12,1101,0,481.7312896040524,0.0201573446934134
cell,3,1:2:9,8,332,1011,0,468.9530382808294,0.0196226573644816
cell,3,1:2:9,9,330,1111,-1,429.30617444729626,0.0179636920501002
cell,3,1:2:9,10,230,0111,0,389.7583375757633,0.0163088703748181
ring_node,3,1:2:9,1,0,q=4,site=2,759.7762052481809,0.0317917295171527
ring_node,3,1:2:9,2,0,q=4,site=1,623.9246495622269,0.0261072188901827
ring_node,3,1:2:9,3,23,q=2,site=0,562.8802862946189,0.0235529063542739
ring_node,3,1:2:9,4,1,q=2,site=0,539.9870224031978,0.0225949710459905
ring_node,3,1:2:9,5,2,q=3,site=1,524.2769446552563,0.0219376057073473
ring_node,3,1:2:9,6,11,q=4,site=2,517.1027146524774,0.0216374104943797
ring_node,3,1:2:9,7,2,q=3,site=0,497.9239263995588,0.0208349020130771
ring_node,3,1:2:9,8,32,q=3,site=2,494.7327735104178,0.0207013728648903
ring_node,3,1:2:9,9,10,q=3,site=2,494.6381743443977,0.0206974145004694
ring_node,3,1:2:9,10,33,q=4,site=0,481.3254440462861,0.0201403626767233
cell,3,1:2:10,1,332,1111,-1,12.194634936881467,0.1565917835406782
cell,3,1:2:10,2,112,1111,1,11.803989957311922,0.1515754960996332
cell,3,1:2:10,3,330,1111,-1,10.11343231540886,0.1298669793876419
cell,3,1:2:10,4,0,1111,0,9.820593023152652,0.1261066185976275
cell,3,1:2:10,5,2,1111,0,8.722009263223839,0.1119996616262636
cell,3,1:2:10,6,110,1111,1,7.752211033199022,0.0995464446746937
cell,3,1:2:10,7,100,1101,1,1.4753575724631105,0.0189451242147085
cell,3,1:2:10,8,320,1101,-1,1.3265225577062212,0.017033927976796
cell,3,1:2:10,9,200,1011,-1,1.1995095186629816,0.0154029485813776
cell,3,1:2:10,10,310,1110,-1,1.0977370999895022,0.014096084978013
ring_node,3,1:2:10,1,33,q=4,site=0,10.909809556629604,0.1400932906482439
ring_node,3,1:2:10,2,11,q=4,site=2,10.376970757983688,0.1332510868224216
ring_node,3,1:2:10,3,33,q=4,site=1,9.3905316429546,0.1205841836165274
ring_node,3,1:2:10,4,0,q=4,site=2,8.83786711267532,0.1134873967964182
ring_node,3,1:2:10,5,0,q=4,site=1,8.035900967927287,0.1031893182073226
ring_node,3,1:2:10,6,11,q=4,site=0,7.419172143381271,0.0952698792822158
ring_node,3,1:2:10,7,33,q=4,site=2,2.0077260527061296,0.0257812886635488
ring_node,3,1:2:10,8,11,q=4,site=1,1.7600580891459847,0.0226009746696894
ring_node,3,1:2:10,9,0,q=4,site=0,1.668834205773884,0.0214295652201502
ring_node,3,1:2:10,10,10,q=3,site=2,1.580409822908857,0.0202941042659693
cell,3,3:3:8,1,0,1111,0,455.1360251218769,0.0460048373345552
cell,3,3:3:8,2,2,1111,0,357.39436764327087,0.0361251776176409
cell,3,3:3:8,3,112,1111,1,330.64687004931545,0.033421558901485
cell,3,3:3:8,4,332,1111,-1,310.19871761871866,0.0313546736750081
cell,3,3:3:8,5,22,1110,0,240.717255948424,0.0243315351725064
cell,3,3:3:8,6,330,1111,-1,239.6462477111163,0.024223278394265
cell,3,3:3:8,7,232,0111,0,230.87614026393567,0.023336801947128
cell,3,3:3:8,8,332,1011,0,226.0772698899424,0.0228517354202889
cell,3,3:3:8,9,12,1101,0,223.8404815551525,0.0226256423891643
cell,3,3:3:8,10,110,1111,1,197.35597954032127,0.0199486070858113
ring_node,3,3:3:8,1,0,q=4,site=2,405.3770336878335,0.0409752325999229
ring_node,3,3:3:8,2,0,q=4,site=1,334.0256237284511,0.0337630810065755
ring_node,3,3:3:8,3,11,q=4,site=2,288.8924715990676,0.0292010529369407
ring_node,3,3:3:8,4,33,q=4,site=0,275.93111074134976,0.0278909274689905
ring_node,3,3:3:8,5,32,q=3,site=2,250.19634200728584,0.0252896746915687
ring_node,3,3:3:8,6,2,q=3,site=1,246.95033575584327,0.024961570605445
ring_node,3,3:3:8,7,10,q=3,site=2,245.6799094333804,0.0248331567838962
ring_node,3,3:3:8,8,2,q=3,site=0,234.0619730687429,0.0236588237425264
ring_node,3,3:3:8,9,33,q=4,site=1,224.4278077088001,0.022685008914048
ring_node,3,3:3:8,10,23,q=2,site=0,215.6176025799213,0.0217944794207397
cell,4,1:2:8,1,3300,1111,-1,0.7237238437338719,0.1134996951113877
cell,4,1:2:8,2,1100,1111,1,0.5204326232364787,0.0816180710015143
cell,4,1:2:8,3,1112,1111,1,0.4894024643526799,0.0767516933036363
cell,4,1:2:8,4,3320,1111,-1,0.3478614781233372,0.0545541950149066
cell,4,1:2:8,5,1132,1111,1,0.3322292179415057,0.0521026290206374
cell,4,1:2:8,6,0,1111,0,0.3116322056307555,0.0488724540889748
cell,4,1:2:8,7,22,1111,0,0.2704314247594944,0.0424110446608797
cell,4,1:2:8,8,3330,1111,-1,0.267100780426327,0.0418887085245039
cell,4,1:2:8,9,1102,1111,1,0.2144557061070636,0.0336325208417475
cell,4,1:2:8,10,3332,1111,-1,0.2060056578308261,0.0323073221332438
ring_node,4,1:2:8,1,33,q=4,site=1,1.2591357660334446,0.1974669299429508
ring_node,4,1:2:8,2,11,q=4,site=2,1.0921219603203665,0.1712745967872155
ring_node,4,1:2:8,3,11,q=4,site=0,0.8451024736522513,0.1325351844186046
ring_node,4,1:2:8,4,0,q=4,site=2,0.7267936633624126,0.1139811267995973
ring_node,4,1:2:8,5,0,q=4,site=1,0.5993296763138246,0.0939912870382636
ring_node,4,1:2:8,6,33,q=4,site=0,0.5948064250672634,0.0932819175158388
ring_node,4,1:2:8,7,11,q=4,site=1,0.1915936253379511,0.030047121218158
ring_node,4,1:2:8,8,33,q=4,site=2,0.1833569199989711,0.0287553805179022
ring_node,4,1:2:8,9,0,q=4,site=0,0.131155055572375,0.0205687002696785
ring_node,4,1:2:8,10,32,q=3,site=0,0.117397674846062,0.0184111666586372
cell,4,1:2:9,1,22,1111,0,234.08603703513285,0.0097736571282092
cell,4,1:2:9,2,30,1111,0,233.67787487378172,0.0097566153726723
cell,4,1:2:9,3,10,1111,0,221.30986752860724,0.0092402212097314
cell,4,1:2:9,4,2,1111,0,203.86394626555915,0.008511811882672
cell,4,1:2:9,5,3300,1111,-1,164.8779744272752,0.0068840534465709
cell,4,1:2:9,6,0,1111,0,164.4008208882969,0.0068641311344734
cell,4,1:2:9,7,1132,1111,1,163.53977944900254,0.0068281805758351
cell,4,1:2:9,8,32,1111,0,163.1054219646426,0.0068100451023272
cell,4,1:2:9,9,20,1111,0,153.6609849208549,0.0064157170569467
cell,4,1:2:9,10,12,1111,0,148.75939372748292,0.0062110637922179
ring_node,4,1:2:9,1,0,q=4,site=2,701.3839614428169,0.0292844735260241
ring_node,4,1:2:9,2,0,q=4,site=1,684.4225945131492,0.0285762955120939
ring_node,4,1:2:9,3,2,q=3,site=1,620.0620763176629,0.0258890885116091
ring_node,4,1:2:9,4,23,q=2,site=2,495.8979146202951,0.0207049350293599
ring_node,4,1:2:9,5,23,q=2,site=0,491.0688451759773,0.0205033097227211
ring_node,4,1:2:9,6,32,q=3,site=2,487.4785703914074,0.020353407083568
ring_node,4,1:2:9,7,10,q=3,site=2,485.87844274550207,0.020286597891655
ring_node,4,1:2:9,8,1,q=2,site=0,481.96288078999714,0.0201231137278745
ring_node,4,1:2:9,9,33,q=4,site=1,477.7768869707685,0.0199483383809631
ring_node,4,1:2:9,10,1,q=2,site=2,473.37841680898936,0.0197646916338338
cell,4,1:2:10,1,3312,1111,-1,3.827970445193248,0.0484002093788455
cell,4,1:2:10,2,1132,1111,1,3.735948820160875,0.0472367035517456
cell,4,1:2:10,3,1112,1111,1,3.507922682519843,0.0443535797231555
cell,4,1:2:10,4,3300,1111,-1,3.453337988036036,0.0436634200994797
cell,4,1:2:10,5,3332,1111,-1,3.322954573933278,0.0420148743145909
cell,4,1:2:10,6,3322,1111,-1,3.127404408264422,0.0395423711701831
cell,4,1:2:10,7,1100,1111,1,3.063393712640889,0.0387330307860234
cell,4,1:2:10,8,1102,1111,1,3.022699424576829,0.0382184991063714
cell,4,1:2:10,9,3320,1111,-1,2.9432832444477954,0.0372143743877128
cell,4,1:2:10,10,3310,1111,-1,2.819324932171378,0.0356470665011117
ring_node,4,1:2:10,1,33,q=4,site=0,11.064227375586716,0.1398942152925942
ring_node,4,1:2:10,2,33,q=4,site=1,10.68832943412455,0.1351414254442056
ring_node,4,1:2:10,3,11,q=4,site=2,10.556842861479833,0.1334789315097234
ring_node,4,1:2:10,4,11,q=4,site=0,9.089275540573045,0.1149232590910315
ring_node,4,1:2:10,5,0,q=4,site=2,7.411279551706332,0.0937069622672163
ring_node,4,1:2:10,6,0,q=4,site=1,6.567722661427375,0.083041171949076
ring_node,4,1:2:10,7,33,q=4,site=2,2.1513517723890265,0.0272013271058373
ring_node,4,1:2:10,8,11,q=4,site=1,1.9430226991041304,0.0245672496198548
ring_node,4,1:2:10,9,32,q=3,site=2,1.8403181356067364,0.0232686705298102
ring_node,4,1:2:10,10,10,q=3,site=2,1.677163252654383,0.0212057678483146
cell,4,3:3:8,1,30,1111,0,128.66605135856892,0.0131106330532711
cell,4,3:3:8,2,22,1111,0,122.5843213653686,0.0124909254503097
cell,4,3:3:8,3,10,1111,0,118.98586431641442,0.012124254915008
cell,4,3:3:8,4,2,1111,0,107.52450100368448,0.0109563809723729
cell,4,3:3:8,5,1132,1111,1,94.53102317066592,0.0096323897706862
cell,4,3:3:8,6,3300,1111,-1,88.17342227989582,0.0089845718614714
cell,4,3:3:8,7,32,1111,0,86.82260105184817,0.008846927772339
cell,4,3:3:8,8,0,1111,0,84.86232207981146,0.0086471820117981
cell,4,3:3:8,9,3320,1111,-1,84.27205227060958,0.0085870355256881
cell,4,3:3:8,10,20,1111,0,81.96185787700473,0.0083516345737161
ring_node,4,3:3:8,1,0,q=4,site=2,375.45129414622255,0.0382572100017978
ring_node,4,3:3:8,2,0,q=4,site=1,361.48434301886726,0.0368340251821019
ring_node,4,3:3:8,3,2,q=3,site=1,287.1940692760817,0.0292640989413845
ring_node,4,3:3:8,4,33,q=4,site=1,265.61417898160727,0.0270651815113917
ring_node,4,3:3:8,5,11,q=4,site=2,251.9028875658549,0.0256680475468355
ring_node,4,3:3:8,6,32,q=3,site=2,242.1268863722404,0.0246719062723929
ring_node,4,3:3:8,7,10,q=3,site=2,237.3178295557646,0.0241818797379076
ring_node,4,3:3:8,8,11,q=4,site=0,228.68798217084452,0.0233025276386184
ring_node,4,3:3:8,9,33,q=4,site=0,228.31573835777849,0.0232645972600303
ring_node,4,3:3:8,10,2,q=3,site=0,200.41756917877208,0.0204218686995282
