Z,symbol,name,octave,registry_authority,registry_status
32,Ge,Germanium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
33,As,Arsenic,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
34,Se,Selenium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
35,Br,Bromine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
36,Kr,Krypton,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
37,Rb,Rubidium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
38,Sr,Strontium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
39,Y,Yttrium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
40,Zr,Zirconium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
41,Nb,Niobium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
42,Mo,Molybdenum,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
43,Tc,Technetium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
44,Ru,Ruthenium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
45,Rh,Rhodium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
46,Pd,Palladium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
47,Ag,Silver,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
48,Cd,Cadmium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
49,In,Indium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
50,Sn,Tin,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
51,Sb,Antimony,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
52,Te,Tellurium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
53,I,Iodine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
54,Xe,Xenon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
55,Cs,Caesium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
56,Ba,Barium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
57,La,Lanthanum,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
58,Ce,Cerium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
59,Pr,Praseodymium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
60,Nd,Neodymium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
61,Pm,Promethium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
62,Sm,Samarium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
63,Eu,Europium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
64,Gd,Gadolinium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
65,Tb,Terbium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
66,Dy,Dysprosium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
67,Ho,Holmium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
68,Er,Erbium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
69,Tm,Thulium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
70,Yb,Ytterbium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
71,Lu,Lutetium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
72,Hf,Hafnium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
73,Ta,Tantalum,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
74,W,Tungsten,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
75,Re,Rhenium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
76,Os,Osmium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
77,Ir,Iridium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
78,Pt,Platinum,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
79,Au,Gold,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
80,Hg,Mercury,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
81,Tl,Thallium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
82,Pb,Lead,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
83,Bi,Bismuth,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
84,Po,Polonium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
85,At,Astatine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
86,Rn,Radon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
87,Fr,Francium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
88,Ra,Radium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
89,Ac,Actinium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
90,Th,Thorium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
91,Pa,Protactinium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
92,U,Uranium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
93,Np,Neptunium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
94,Pu,Plutonium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
95,Am,Americium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
96,Cm,Curium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
97,Bk,Berkelium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
98,Cf,Californium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
99,Es,Einsteinium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
100,Fm,Fermium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
101,Md,Mendelevium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
102,No,Nobelium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
103,Lr,Lawrencium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
104,Rf,Rutherfordium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
105,Db,Dubnium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
106,Sg,Seaborgium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
107,Bh,Bohrium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
108,Hs,Hassium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
109,Mt,Meitnerium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
110,Ds,Darmstadtium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
111,Rg,Roentgenium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
112,Cn,Copernicium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
113,Nh,Nihonium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
114,Fl,Flerovium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
115,Mc,Moscovium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
116,Lv,Livermorium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
117,Ts,Tennessine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
118,Og,Oganesson,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
