rule_id,element_Z,symbol,element_name,declared_ratio,boundary_unit_left,boundary_unit_right,retained_unit,ladder_depth,retained_capacity_Z,residual_Z,sheddic_surplus,admissibility_status,observable_map_status
FFL-336,35,Br,Bromine,3:3:6,3,3,6,6,36,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,36,Kr,Krypton,3:3:6,3,3,6,6,36,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,37,Rb,Rubidium,3:3:6,3,3,6,7,42,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,38,Sr,Strontium,3:3:6,3,3,6,7,42,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,39,Y,Yttrium,3:3:6,3,3,6,7,42,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,40,Zr,Zirconium,3:3:6,3,3,6,7,42,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,41,Nb,Niobium,3:3:6,3,3,6,7,42,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,42,Mo,Molybdenum,3:3:6,3,3,6,7,42,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,43,Tc,Technetium,3:3:6,3,3,6,8,48,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,44,Ru,Ruthenium,3:3:6,3,3,6,8,48,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,45,Rh,Rhodium,3:3:6,3,3,6,8,48,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,46,Pd,Palladium,3:3:6,3,3,6,8,48,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,47,Ag,Silver,3:3:6,3,3,6,8,48,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,48,Cd,Cadmium,3:3:6,3,3,6,8,48,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,49,In,Indium,3:3:6,3,3,6,9,54,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,50,Sn,Tin,3:3:6,3,3,6,9,54,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,51,Sb,Antimony,3:3:6,3,3,6,9,54,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,52,Te,Tellurium,3:3:6,3,3,6,9,54,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,53,I,Iodine,3:3:6,3,3,6,9,54,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,54,Xe,Xenon,3:3:6,3,3,6,9,54,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,55,Cs,Caesium,3:3:6,3,3,6,10,60,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,56,Ba,Barium,3:3:6,3,3,6,10,60,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,57,La,Lanthanum,3:3:6,3,3,6,10,60,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,58,Ce,Cerium,3:3:6,3,3,6,10,60,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,59,Pr,Praseodymium,3:3:6,3,3,6,10,60,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,60,Nd,Neodymium,3:3:6,3,3,6,10,60,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,61,Pm,Promethium,3:3:6,3,3,6,11,66,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,62,Sm,Samarium,3:3:6,3,3,6,11,66,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,63,Eu,Europium,3:3:6,3,3,6,11,66,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,64,Gd,Gadolinium,3:3:6,3,3,6,11,66,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,65,Tb,Terbium,3:3:6,3,3,6,11,66,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,66,Dy,Dysprosium,3:3:6,3,3,6,11,66,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,67,Ho,Holmium,3:3:6,3,3,6,12,72,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,68,Er,Erbium,3:3:6,3,3,6,12,72,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,69,Tm,Thulium,3:3:6,3,3,6,12,72,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,70,Yb,Ytterbium,3:3:6,3,3,6,12,72,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,71,Lu,Lutetium,3:3:6,3,3,6,12,72,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,72,Hf,Hafnium,3:3:6,3,3,6,12,72,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,73,Ta,Tantalum,3:3:6,3,3,6,13,78,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,74,W,Tungsten,3:3:6,3,3,6,13,78,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,75,Re,Rhenium,3:3:6,3,3,6,13,78,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,76,Os,Osmium,3:3:6,3,3,6,13,78,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,77,Ir,Iridium,3:3:6,3,3,6,13,78,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,78,Pt,Platinum,3:3:6,3,3,6,13,78,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,79,Au,Gold,3:3:6,3,3,6,14,84,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,80,Hg,Mercury,3:3:6,3,3,6,14,84,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,81,Tl,Thallium,3:3:6,3,3,6,14,84,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,82,Pb,Lead,3:3:6,3,3,6,14,84,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,83,Bi,Bismuth,3:3:6,3,3,6,14,84,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,84,Po,Polonium,3:3:6,3,3,6,14,84,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,85,At,Astatine,3:3:6,3,3,6,15,90,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,86,Rn,Radon,3:3:6,3,3,6,15,90,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,87,Fr,Francium,3:3:6,3,3,6,15,90,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,88,Ra,Radium,3:3:6,3,3,6,15,90,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,89,Ac,Actinium,3:3:6,3,3,6,15,90,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,90,Th,Thorium,3:3:6,3,3,6,15,90,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,91,Pa,Protactinium,3:3:6,3,3,6,16,96,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,92,U,Uranium,3:3:6,3,3,6,16,96,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,93,Np,Neptunium,3:3:6,3,3,6,16,96,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,94,Pu,Plutonium,3:3:6,3,3,6,16,96,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,95,Am,Americium,3:3:6,3,3,6,16,96,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,96,Cm,Curium,3:3:6,3,3,6,16,96,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,97,Bk,Berkelium,3:3:6,3,3,6,17,102,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,98,Cf,Californium,3:3:6,3,3,6,17,102,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,99,Es,Einsteinium,3:3:6,3,3,6,17,102,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,100,Fm,Fermium,3:3:6,3,3,6,17,102,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,101,Md,Mendelevium,3:3:6,3,3,6,17,102,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,102,No,Nobelium,3:3:6,3,3,6,17,102,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,103,Lr,Lawrencium,3:3:6,3,3,6,18,108,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,104,Rf,Rutherfordium,3:3:6,3,3,6,18,108,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,105,Db,Dubnium,3:3:6,3,3,6,18,108,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,106,Sg,Seaborgium,3:3:6,3,3,6,18,108,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,107,Bh,Bohrium,3:3:6,3,3,6,18,108,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,108,Hs,Hassium,3:3:6,3,3,6,18,108,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,109,Mt,Meitnerium,3:3:6,3,3,6,19,114,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,110,Ds,Darmstadtium,3:3:6,3,3,6,19,114,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,111,Rg,Roentgenium,3:3:6,3,3,6,19,114,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,112,Cn,Copernicium,3:3:6,3,3,6,19,114,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,113,Nh,Nihonium,3:3:6,3,3,6,19,114,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,114,Fl,Flerovium,3:3:6,3,3,6,19,114,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,115,Mc,Moscovium,3:3:6,3,3,6,20,120,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,116,Lv,Livermorium,3:3:6,3,3,6,20,120,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,117,Ts,Tennessine,3:3:6,3,3,6,20,120,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,118,Og,Oganesson,3:3:6,3,3,6,20,120,2,0,boundary_residual,registry_Z_coordinate_after_freeze
