element_Z,symbol,element_name,octave_case,stellar_scale_label,declared_scale_coordinate,external_dataset,external_value,scaled_aod_value,absolute_error,relative_error,residual_class,map_status,src
15,P,Phosphorus,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,15,18,3,0.2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
16,S,Sulfur,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,16,18,2,0.125,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
17,Cl,Chlorine,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,17,18,1,0.0588235294118,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
18,Ar,Argon,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,18,18,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
19,K,Potassium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,19,24,5,0.263157894737,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
20,Ca,Calcium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,20,24,4,0.2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
21,Sc,Scandium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,21,24,3,0.142857142857,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
22,Ti,Titanium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,22,24,2,0.0909090909091,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
23,V,Vanadium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,23,24,1,0.0434782608696,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
24,Cr,Chromium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,24,24,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
25,Mn,Manganese,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,25,30,5,0.2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
26,Fe,Iron,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,26,30,4,0.153846153846,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
27,Co,Cobalt,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,27,30,3,0.111111111111,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
28,Ni,Nickel,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,28,30,2,0.0714285714286,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
29,Cu,Copper,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,29,30,1,0.0344827586207,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
30,Zn,Zinc,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,30,30,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
31,Ga,Gallium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,31,36,5,0.161290322581,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
32,Ge,Germanium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,32,36,4,0.125,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
33,As,Arsenic,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,33,36,3,0.0909090909091,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
34,Se,Selenium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,34,36,2,0.0588235294118,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
35,Br,Bromine,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,35,36,1,0.0285714285714,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
36,Kr,Krypton,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,36,36,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
37,Rb,Rubidium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,37,42,5,0.135135135135,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
38,Sr,Strontium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,38,42,4,0.105263157895,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
39,Y,Yttrium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,39,42,3,0.0769230769231,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
40,Zr,Zirconium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,40,42,2,0.05,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
41,Nb,Niobium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,41,42,1,0.0243902439024,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
42,Mo,Molybdenum,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,42,42,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
43,Tc,Technetium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,43,48,5,0.116279069767,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
44,Ru,Ruthenium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,44,48,4,0.0909090909091,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
45,Rh,Rhodium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,45,48,3,0.0666666666667,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
46,Pd,Palladium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,46,48,2,0.0434782608696,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
47,Ag,Silver,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,47,48,1,0.0212765957447,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
48,Cd,Cadmium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,48,48,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
49,In,Indium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,49,54,5,0.102040816327,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
50,Sn,Tin,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,50,54,4,0.08,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
51,Sb,Antimony,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,51,54,3,0.0588235294118,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
52,Te,Tellurium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,52,54,2,0.0384615384615,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
53,I,Iodine,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,53,54,1,0.0188679245283,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
54,Xe,Xenon,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,54,54,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
55,Cs,Caesium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,55,60,5,0.0909090909091,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
56,Ba,Barium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,56,60,4,0.0714285714286,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
57,La,Lanthanum,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,57,60,3,0.0526315789474,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
58,Ce,Cerium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,58,60,2,0.0344827586207,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
59,Pr,Praseodymium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,59,60,1,0.0169491525424,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
60,Nd,Neodymium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,60,60,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
61,Pm,Promethium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,61,66,5,0.0819672131148,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
62,Sm,Samarium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,62,66,4,0.0645161290323,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
63,Eu,Europium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,63,66,3,0.047619047619,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
64,Gd,Gadolinium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,64,66,2,0.03125,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
65,Tb,Terbium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,65,66,1,0.0153846153846,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
66,Dy,Dysprosium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,66,66,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
67,Ho,Holmium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,67,72,5,0.0746268656716,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
68,Er,Erbium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,68,72,4,0.0588235294118,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
69,Tm,Thulium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,69,72,3,0.0434782608696,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
70,Yb,Ytterbium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,70,72,2,0.0285714285714,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
71,Lu,Lutetium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,71,72,1,0.0140845070423,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
72,Hf,Hafnium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,72,72,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
73,Ta,Tantalum,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,73,78,5,0.0684931506849,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
74,W,Tungsten,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,74,78,4,0.0540540540541,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
75,Re,Rhenium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,75,78,3,0.04,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
76,Os,Osmium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,76,78,2,0.0263157894737,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
77,Ir,Iridium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,77,78,1,0.012987012987,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
78,Pt,Platinum,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,78,78,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
79,Au,Gold,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,79,84,5,0.0632911392405,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
80,Hg,Mercury,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,80,84,4,0.05,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
81,Tl,Thallium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,81,84,3,0.037037037037,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
82,Pb,Lead,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,82,84,2,0.0243902439024,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
83,Bi,Bismuth,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,83,84,1,0.0120481927711,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
84,Po,Polonium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,84,84,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
85,At,Astatine,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,85,90,5,0.0588235294118,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
86,Rn,Radon,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,86,90,4,0.046511627907,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
87,Fr,Francium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,87,90,3,0.0344827586207,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
88,Ra,Radium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,88,90,2,0.0227272727273,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
89,Ac,Actinium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,89,90,1,0.0112359550562,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
90,Th,Thorium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,90,90,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
91,Pa,Protactinium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,91,96,5,0.0549450549451,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
92,U,Uranium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,92,96,4,0.0434782608696,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
93,Np,Neptunium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,93,96,3,0.0322580645161,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
94,Pu,Plutonium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,94,96,2,0.0212765957447,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
95,Am,Americium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,95,96,1,0.0105263157895,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
96,Cm,Curium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,96,96,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
97,Bk,Berkelium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,97,102,5,0.0515463917526,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
98,Cf,Californium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,98,102,4,0.0408163265306,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
99,Es,Einsteinium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,99,102,3,0.030303030303,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
100,Fm,Fermium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,100,102,2,0.02,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
101,Md,Mendelevium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,101,102,1,0.00990099009901,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
102,No,Nobelium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,102,102,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
103,Lr,Lawrencium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,103,108,5,0.0485436893204,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
104,Rf,Rutherfordium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,104,108,4,0.0384615384615,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
105,Db,Dubnium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,105,108,3,0.0285714285714,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
106,Sg,Seaborgium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,106,108,2,0.0188679245283,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
107,Bh,Bohrium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,107,108,1,0.00934579439252,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
108,Hs,Hassium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,108,108,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
109,Mt,Meitnerium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,109,114,5,0.045871559633,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
110,Ds,Darmstadtium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,110,114,4,0.0363636363636,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
111,Rg,Roentgenium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,111,114,3,0.027027027027,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
112,Cn,Copernicium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,112,114,2,0.0178571428571,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
113,Nh,Nihonium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,113,114,1,0.00884955752212,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
114,Fl,Flerovium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,114,114,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
115,Mc,Moscovium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,115,120,5,0.0434782608696,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
116,Lv,Livermorium,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,116,120,4,0.0344827586207,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
117,Ts,Tennessine,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,117,120,3,0.025641025641,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
118,Og,Oganesson,elementary,heavy-element comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,118,120,2,0.0169491525424,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
