Z,symbol,name,pubchem_query_key,pubchem_query_url,comparison_status,acquisition_policy,src
15,P,Phosphorus,Phosphorus,https://pubchem.ncbi.nlm.nih.gov/#query=Phosphorus,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
16,S,Sulfur,Sulfur,https://pubchem.ncbi.nlm.nih.gov/#query=Sulfur,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
17,Cl,Chlorine,Chlorine,https://pubchem.ncbi.nlm.nih.gov/#query=Chlorine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
18,Ar,Argon,Argon,https://pubchem.ncbi.nlm.nih.gov/#query=Argon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
19,K,Potassium,Potassium,https://pubchem.ncbi.nlm.nih.gov/#query=Potassium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
20,Ca,Calcium,Calcium,https://pubchem.ncbi.nlm.nih.gov/#query=Calcium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
21,Sc,Scandium,Scandium,https://pubchem.ncbi.nlm.nih.gov/#query=Scandium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
22,Ti,Titanium,Titanium,https://pubchem.ncbi.nlm.nih.gov/#query=Titanium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
23,V,Vanadium,Vanadium,https://pubchem.ncbi.nlm.nih.gov/#query=Vanadium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
24,Cr,Chromium,Chromium,https://pubchem.ncbi.nlm.nih.gov/#query=Chromium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
25,Mn,Manganese,Manganese,https://pubchem.ncbi.nlm.nih.gov/#query=Manganese,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
26,Fe,Iron,Iron,https://pubchem.ncbi.nlm.nih.gov/#query=Iron,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
27,Co,Cobalt,Cobalt,https://pubchem.ncbi.nlm.nih.gov/#query=Cobalt,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
28,Ni,Nickel,Nickel,https://pubchem.ncbi.nlm.nih.gov/#query=Nickel,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
29,Cu,Copper,Copper,https://pubchem.ncbi.nlm.nih.gov/#query=Copper,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
30,Zn,Zinc,Zinc,https://pubchem.ncbi.nlm.nih.gov/#query=Zinc,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
31,Ga,Gallium,Gallium,https://pubchem.ncbi.nlm.nih.gov/#query=Gallium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
32,Ge,Germanium,Germanium,https://pubchem.ncbi.nlm.nih.gov/#query=Germanium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
33,As,Arsenic,Arsenic,https://pubchem.ncbi.nlm.nih.gov/#query=Arsenic,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
34,Se,Selenium,Selenium,https://pubchem.ncbi.nlm.nih.gov/#query=Selenium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
35,Br,Bromine,Bromine,https://pubchem.ncbi.nlm.nih.gov/#query=Bromine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
36,Kr,Krypton,Krypton,https://pubchem.ncbi.nlm.nih.gov/#query=Krypton,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
37,Rb,Rubidium,Rubidium,https://pubchem.ncbi.nlm.nih.gov/#query=Rubidium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
38,Sr,Strontium,Strontium,https://pubchem.ncbi.nlm.nih.gov/#query=Strontium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
39,Y,Yttrium,Yttrium,https://pubchem.ncbi.nlm.nih.gov/#query=Yttrium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
40,Zr,Zirconium,Zirconium,https://pubchem.ncbi.nlm.nih.gov/#query=Zirconium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
41,Nb,Niobium,Niobium,https://pubchem.ncbi.nlm.nih.gov/#query=Niobium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
42,Mo,Molybdenum,Molybdenum,https://pubchem.ncbi.nlm.nih.gov/#query=Molybdenum,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
43,Tc,Technetium,Technetium,https://pubchem.ncbi.nlm.nih.gov/#query=Technetium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
44,Ru,Ruthenium,Ruthenium,https://pubchem.ncbi.nlm.nih.gov/#query=Ruthenium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
45,Rh,Rhodium,Rhodium,https://pubchem.ncbi.nlm.nih.gov/#query=Rhodium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
46,Pd,Palladium,Palladium,https://pubchem.ncbi.nlm.nih.gov/#query=Palladium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
47,Ag,Silver,Silver,https://pubchem.ncbi.nlm.nih.gov/#query=Silver,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
48,Cd,Cadmium,Cadmium,https://pubchem.ncbi.nlm.nih.gov/#query=Cadmium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
49,In,Indium,Indium,https://pubchem.ncbi.nlm.nih.gov/#query=Indium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
50,Sn,Tin,Tin,https://pubchem.ncbi.nlm.nih.gov/#query=Tin,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
51,Sb,Antimony,Antimony,https://pubchem.ncbi.nlm.nih.gov/#query=Antimony,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
52,Te,Tellurium,Tellurium,https://pubchem.ncbi.nlm.nih.gov/#query=Tellurium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
53,I,Iodine,Iodine,https://pubchem.ncbi.nlm.nih.gov/#query=Iodine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
54,Xe,Xenon,Xenon,https://pubchem.ncbi.nlm.nih.gov/#query=Xenon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
55,Cs,Caesium,Caesium,https://pubchem.ncbi.nlm.nih.gov/#query=Caesium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
56,Ba,Barium,Barium,https://pubchem.ncbi.nlm.nih.gov/#query=Barium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
57,La,Lanthanum,Lanthanum,https://pubchem.ncbi.nlm.nih.gov/#query=Lanthanum,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
58,Ce,Cerium,Cerium,https://pubchem.ncbi.nlm.nih.gov/#query=Cerium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
59,Pr,Praseodymium,Praseodymium,https://pubchem.ncbi.nlm.nih.gov/#query=Praseodymium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
60,Nd,Neodymium,Neodymium,https://pubchem.ncbi.nlm.nih.gov/#query=Neodymium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
61,Pm,Promethium,Promethium,https://pubchem.ncbi.nlm.nih.gov/#query=Promethium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
62,Sm,Samarium,Samarium,https://pubchem.ncbi.nlm.nih.gov/#query=Samarium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
63,Eu,Europium,Europium,https://pubchem.ncbi.nlm.nih.gov/#query=Europium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
64,Gd,Gadolinium,Gadolinium,https://pubchem.ncbi.nlm.nih.gov/#query=Gadolinium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
65,Tb,Terbium,Terbium,https://pubchem.ncbi.nlm.nih.gov/#query=Terbium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
66,Dy,Dysprosium,Dysprosium,https://pubchem.ncbi.nlm.nih.gov/#query=Dysprosium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
67,Ho,Holmium,Holmium,https://pubchem.ncbi.nlm.nih.gov/#query=Holmium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
68,Er,Erbium,Erbium,https://pubchem.ncbi.nlm.nih.gov/#query=Erbium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
69,Tm,Thulium,Thulium,https://pubchem.ncbi.nlm.nih.gov/#query=Thulium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
70,Yb,Ytterbium,Ytterbium,https://pubchem.ncbi.nlm.nih.gov/#query=Ytterbium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
71,Lu,Lutetium,Lutetium,https://pubchem.ncbi.nlm.nih.gov/#query=Lutetium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
72,Hf,Hafnium,Hafnium,https://pubchem.ncbi.nlm.nih.gov/#query=Hafnium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
73,Ta,Tantalum,Tantalum,https://pubchem.ncbi.nlm.nih.gov/#query=Tantalum,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
74,W,Tungsten,Tungsten,https://pubchem.ncbi.nlm.nih.gov/#query=Tungsten,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
75,Re,Rhenium,Rhenium,https://pubchem.ncbi.nlm.nih.gov/#query=Rhenium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
76,Os,Osmium,Osmium,https://pubchem.ncbi.nlm.nih.gov/#query=Osmium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
77,Ir,Iridium,Iridium,https://pubchem.ncbi.nlm.nih.gov/#query=Iridium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
78,Pt,Platinum,Platinum,https://pubchem.ncbi.nlm.nih.gov/#query=Platinum,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
79,Au,Gold,Gold,https://pubchem.ncbi.nlm.nih.gov/#query=Gold,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
80,Hg,Mercury,Mercury,https://pubchem.ncbi.nlm.nih.gov/#query=Mercury,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
81,Tl,Thallium,Thallium,https://pubchem.ncbi.nlm.nih.gov/#query=Thallium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
82,Pb,Lead,Lead,https://pubchem.ncbi.nlm.nih.gov/#query=Lead,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
83,Bi,Bismuth,Bismuth,https://pubchem.ncbi.nlm.nih.gov/#query=Bismuth,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
84,Po,Polonium,Polonium,https://pubchem.ncbi.nlm.nih.gov/#query=Polonium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
85,At,Astatine,Astatine,https://pubchem.ncbi.nlm.nih.gov/#query=Astatine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
86,Rn,Radon,Radon,https://pubchem.ncbi.nlm.nih.gov/#query=Radon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
87,Fr,Francium,Francium,https://pubchem.ncbi.nlm.nih.gov/#query=Francium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
88,Ra,Radium,Radium,https://pubchem.ncbi.nlm.nih.gov/#query=Radium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
89,Ac,Actinium,Actinium,https://pubchem.ncbi.nlm.nih.gov/#query=Actinium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
90,Th,Thorium,Thorium,https://pubchem.ncbi.nlm.nih.gov/#query=Thorium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
91,Pa,Protactinium,Protactinium,https://pubchem.ncbi.nlm.nih.gov/#query=Protactinium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
92,U,Uranium,Uranium,https://pubchem.ncbi.nlm.nih.gov/#query=Uranium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
93,Np,Neptunium,Neptunium,https://pubchem.ncbi.nlm.nih.gov/#query=Neptunium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
94,Pu,Plutonium,Plutonium,https://pubchem.ncbi.nlm.nih.gov/#query=Plutonium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
95,Am,Americium,Americium,https://pubchem.ncbi.nlm.nih.gov/#query=Americium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
96,Cm,Curium,Curium,https://pubchem.ncbi.nlm.nih.gov/#query=Curium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
97,Bk,Berkelium,Berkelium,https://pubchem.ncbi.nlm.nih.gov/#query=Berkelium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
98,Cf,Californium,Californium,https://pubchem.ncbi.nlm.nih.gov/#query=Californium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
99,Es,Einsteinium,Einsteinium,https://pubchem.ncbi.nlm.nih.gov/#query=Einsteinium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
100,Fm,Fermium,Fermium,https://pubchem.ncbi.nlm.nih.gov/#query=Fermium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
101,Md,Mendelevium,Mendelevium,https://pubchem.ncbi.nlm.nih.gov/#query=Mendelevium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
102,No,Nobelium,Nobelium,https://pubchem.ncbi.nlm.nih.gov/#query=Nobelium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
103,Lr,Lawrencium,Lawrencium,https://pubchem.ncbi.nlm.nih.gov/#query=Lawrencium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
104,Rf,Rutherfordium,Rutherfordium,https://pubchem.ncbi.nlm.nih.gov/#query=Rutherfordium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
105,Db,Dubnium,Dubnium,https://pubchem.ncbi.nlm.nih.gov/#query=Dubnium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
106,Sg,Seaborgium,Seaborgium,https://pubchem.ncbi.nlm.nih.gov/#query=Seaborgium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
107,Bh,Bohrium,Bohrium,https://pubchem.ncbi.nlm.nih.gov/#query=Bohrium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
108,Hs,Hassium,Hassium,https://pubchem.ncbi.nlm.nih.gov/#query=Hassium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
109,Mt,Meitnerium,Meitnerium,https://pubchem.ncbi.nlm.nih.gov/#query=Meitnerium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
110,Ds,Darmstadtium,Darmstadtium,https://pubchem.ncbi.nlm.nih.gov/#query=Darmstadtium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
111,Rg,Roentgenium,Roentgenium,https://pubchem.ncbi.nlm.nih.gov/#query=Roentgenium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
112,Cn,Copernicium,Copernicium,https://pubchem.ncbi.nlm.nih.gov/#query=Copernicium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
113,Nh,Nihonium,Nihonium,https://pubchem.ncbi.nlm.nih.gov/#query=Nihonium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
114,Fl,Flerovium,Flerovium,https://pubchem.ncbi.nlm.nih.gov/#query=Flerovium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
115,Mc,Moscovium,Moscovium,https://pubchem.ncbi.nlm.nih.gov/#query=Moscovium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
116,Lv,Livermorium,Livermorium,https://pubchem.ncbi.nlm.nih.gov/#query=Livermorium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
117,Ts,Tennessine,Tennessine,https://pubchem.ncbi.nlm.nih.gov/#query=Tennessine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
118,Og,Oganesson,Oganesson,https://pubchem.ncbi.nlm.nih.gov/#query=Oganesson,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
