transition_packet_id,occurrence_id,transition_family,formula_basis,route_or_chain_basis,native_transition_status,target_value_read_status,si_report_status,metric_report_status,subject_reference_phase_lock_status,hyperfine_c6_divisibility_status,residual_status,score_status,row_sha256
transition_mol_component_guanine,mol_component_guanine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,67588a0435a5229ffebda367ef9754d6829ca80ddf23dee62501c263e6689619
transition_mol_component_cytosine,mol_component_cytosine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,b8102d365ac14c0e20b2ed36bca7946a435d0d2f80f2554766621f20841246ec
transition_mol_component_uracil,mol_component_uracil,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,e8ada03f37c9b8144bbb1d62e605c0a9cc31ad4b6b66f32722ea30f78fd67e86
transition_mol_component_thymine,mol_component_thymine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,eb76090060d22209045d09d09a33829a08cae2c6ff8e255be411537ede6a4cd6
transition_mol_component_glycine,mol_component_glycine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,fddbb2e6f972e3d494816f4cb3133b24b58e4350fc582b6b88dca3d74ae27c48
transition_mol_component_alanine,mol_component_alanine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,83e513005c3fce668f7d5ae400d898658392e0ecb8fb0bc3c63d90779f19b598
transition_mol_component_serine,mol_component_serine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,02ff08ad1216a2cc091ece782817f49eb98e2c26fbba543f6bc189558ace3a21
transition_mol_component_methionine,mol_component_methionine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,06a18b4a682be872ed8e10044c7f146a84e95e15a3d2ef28f2de4d370e5e99df
transition_mol_chain_chain_GA_peptide_seed,mol_chain_chain_GA_peptide_seed,molecular_matter_native_transition_declaration,declared_formula_packet,frozen_chain_route_packet,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,fd4472332417c104a1b6b264c5e32bffafee84f29170c95321c574ae08f459d1
transition_mol_chain_chain_AMP_nucleotide_seed,mol_chain_chain_AMP_nucleotide_seed,molecular_matter_native_transition_declaration,declared_formula_packet,frozen_chain_route_packet,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,03d7a71c81fa33cd1207ce3585409c3c16834c040309577aec648ac76a02b345
transition_mol_chain_chain_UMP_nucleotide_seed,mol_chain_chain_UMP_nucleotide_seed,molecular_matter_native_transition_declaration,declared_formula_packet,frozen_chain_route_packet,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,72fa4b0f41f8f96124f1586e7ac23813b7a5a6ac10c7298fa530f1bcaf72ecff
transition_mol_chain_chain_AU_dinucleotide_seed,mol_chain_chain_AU_dinucleotide_seed,molecular_matter_native_transition_declaration,declared_formula_packet,frozen_chain_route_packet,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,0a820aac27c13cc547d24d637a3d3199580df98bbce3d8609e9890f94ef2395a
transition_mol_chain_chain_GAS_tripeptide_seed,mol_chain_chain_GAS_tripeptide_seed,molecular_matter_native_transition_declaration,declared_formula_packet,frozen_chain_route_packet,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,94ca167294ae726de74404f92faf858d384f6efee1cd0ffbe1f77534a095744e
