tick,q_eff,tau,loc,coupled,m,step,phase
329,-1,-1,outer,0,3,1,0
330,-1,-1,outer,1,2,1,2
331,-1,-1,outer,1,2,1,1
332,-1,-1,outer,1,2,1,0
333,-1,-1,outer,1,2,1,2
334,-1,-1,middle,0,3,1,1
335,-1,-1,middle,1,2,1,0
336,-1,-1,outer,1,2,1,2
337,-1,-1,outer,1,2,1,1
338,-1,-1,middle,1,2,1,0
339,-1,0,,0,1,0,0
340,-1,-1,outer,1,2,1,2
341,-1,-1,outer,1,2,1,1
342,-1,-1,middle,1,2,1,0
343,-1,-1,outer,1,2,1,2
344,-1,-1,outer,0,3,1,1
345,-1,-1,outer,1,2,1,0
346,-1,-1,outer,1,2,1,2
347,-1,-1,outer,1,2,1,1
348,-1,-1,outer,0,3,1,0
349,-1,-1,middle,1,2,1,2
350,-1,-1,middle,0,3,1,1
351,-1,0,,0,1,0,1
352,-1,-1,middle,1,2,1,0
353,-1,-1,outer,1,2,1,2
354,-1,-1,outer,1,2,1,1
355,-1,-1,outer,1,2,1,0
356,-1,-1,middle,1,2,1,2
357,-1,-1,outer,1,2,1,1
358,-1,-1,outer,1,2,1,0
359,-1,-1,outer,0,3,1,2
360,-1,-1,outer,0,3,1,1
361,-1,-1,outer,1,2,1,0
362,-1,-1,middle,0,3,1,2
363,-1,-1,middle,1,2,1,1
364,-1,-1,middle,1,2,1,0
365,-1,-1,middle,1,2,1,2
366,-1,-1,middle,1,2,1,1
367,-1,-1,outer,0,3,1,0
368,-1,0,,0,1,0,0
369,-1,-1,outer,1,2,1,2
370,-1,-1,outer,1,2,1,1
371,-1,-1,outer,1,2,1,0
372,-1,-1,middle,1,2,-1,2
373,-1,-1,outer,1,2,1,1
374,-1,-1,outer,1,2,1,0
375,-1,-1,outer,0,3,1,2
376,-1,-1,outer,1,2,1,1
377,-1,-1,middle,1,2,1,0
378,-1,0,,0,1,0,0
379,-1,-1,outer,1,2,1,2
380,-1,0,,0,1,0,2
381,-1,-1,outer,1,2,1,1
382,-1,-1,outer,1,2,1,0
383,-1,0,,0,1,0,0
384,-1,-1,middle,1,2,1,2
385,-1,0,,0,1,0,2
386,-1,-1,outer,1,2,1,1
387,-1,-1,outer,1,2,1,0
388,-1,-1,outer,1,2,1,2
389,-1,-1,outer,0,3,1,1
390,-1,-1,outer,1,2,1,0
391,-1,-1,middle,1,2,1,2
392,-1,-1,outer,1,2,1,1
393,-1,-1,outer,1,2,1,0
394,-1,-1,outer,1,2,1,2
395,-1,-1,outer,1,2,1,1
396,-1,-1,outer,0,3,1,0
397,-1,-1,outer,1,2,1,2
398,-1,0,,0,1,0,2
399,-1,-1,outer,1,2,1,1
400,-1,-1,outer,1,2,1,0
401,-1,-1,outer,0,3,1,2
402,-1,-1,outer,0,3,1,1
403,-1,-1,outer,1,2,1,0
404,-1,-1,middle,0,3,1,2
405,-1,-1,outer,1,2,1,1
406,-1,0,,0,1,0,1
407,-1,-1,outer,1,2,1,0
408,-1,-1,outer,0,3,1,2
409,-1,-1,outer,1,2,1,1
410,-1,-1,outer,1,2,1,0
411,-1,-1,outer,1,2,1,2
412,-1,-1,outer,1,2,1,1
413,-1,0,,0,1,0,1
414,-1,-1,middle,1,2,1,0
415,-1,-1,outer,1,2,1,2
416,-1,-1,outer,1,2,1,1
417,-1,-1,outer,0,3,1,0
418,-1,-1,middle,0,3,1,2
419,-1,-1,outer,1,2,1,1
420,-1,-1,outer,1,2,1,0
421,-1,-1,middle,1,2,1,2
422,-1,-1,middle,1,2,-1,1
423,-1,-1,outer,0,3,1,0
424,-1,-1,middle,0,3,1,2
425,-1,-1,outer,1,2,1,1
426,-1,0,,0,1,0,1
427,-1,-1,outer,1,2,1,0
428,-1,-1,outer,1,2,1,2
429,-1,-1,outer,1,2,1,1
430,-1,-1,outer,1,2,1,0
431,-1,0,,0,1,0,0
432,-1,-1,middle,1,2,1,2
433,-1,-1,outer,1,2,1,1
434,-1,-1,outer,0,3,1,0
435,-1,-1,outer,1,2,1,2
436,-1,-1,outer,1,2,1,1
437,-1,-1,outer,1,2,1,0
438,-1,0,,0,1,0,0
439,-1,-1,outer,1,2,1,2
440,-1,-1,outer,1,2,1,1
441,-1,-1,outer,1,2,1,0
442,-1,-1,outer,1,2,1,2
443,-1,-1,middle,1,2,-1,1
444,-1,-1,outer,1,2,1,0
445,-1,-1,middle,1,2,1,2
446,-1,-1,middle,1,2,1,1
447,-1,-1,outer,1,2,1,0
448,-1,-1,outer,0,3,1,2
449,-1,-1,outer,1,2,1,1
450,-1,-1,outer,0,3,1,0
451,-1,-1,middle,0,3,1,2
452,-1,-1,outer,0,3,1,1
453,-1,-1,middle,1,2,1,0
454,-1,-1,outer,0,3,1,2
455,-1,-1,outer,1,2,1,1
456,-1,0,,0,1,0,1
457,-1,-1,outer,1,2,1,0
458,-1,-1,outer,1,2,1,2
459,-1,0,,0,1,0,2
460,-1,-1,middle,1,2,1,1
461,-1,-1,outer,1,2,1,0
462,-1,-1,middle,1,2,1,2
463,-1,-1,outer,0,3,1,1
464,-1,-1,outer,1,2,1,0
465,-1,-1,middle,0,3,1,2
466,-1,0,,0,1,0,2
467,-1,-1,outer,0,3,1,1
468,-1,-1,outer,1,2,1,0
469,-1,-1,middle,1,2,1,2
470,-1,-1,outer,0,3,1,1
471,-1,-1,outer,1,2,1,0
472,-1,-1,outer,1,2,1,2
473,-1,-1,middle,0,3,1,1
474,-1,-1,outer,1,2,1,0
475,-1,-1,outer,0,3,1,2
476,-1,-1,outer,0,3,1,1
477,-1,-1,outer,1,2,1,0
478,-1,-1,middle,1,2,1,2
479,-1,-1,outer,1,2,1,1
480,-1,-1,outer,1,2,1,0
481,-1,-1,middle,1,2,1,2
482,-1,-1,outer,1,2,1,1
483,-1,-1,outer,0,3,1,0
484,-1,0,,0,1,0,0
485,-1,-1,outer,1,2,1,2
486,-1,-1,outer,0,3,1,1
487,-1,0,,0,1,0,1
488,-1,-1,outer,1,2,1,0
489,-1,-1,outer,1,2,1,2
490,-1,-1,middle,1,2,1,1
491,-1,-1,outer,1,2,1,0
492,-1,-1,middle,1,2,1,2
493,-1,-1,outer,1,2,1,1
494,-1,-1,outer,1,2,1,0
495,-1,-1,outer,1,2,1,2
496,-1,-1,outer,1,2,1,1
497,-1,-1,outer,1,2,1,0
498,-1,-1,middle,1,2,1,2
499,-1,-1,outer,1,2,1,1
500,-1,-1,outer,0,3,1,0
501,-1,-1,outer,1,2,1,2
502,-1,-1,outer,0,3,1,1
503,-1,-1,outer,1,2,1,0
504,-1,-1,middle,1,2,-1,2
505,-1,-1,outer,1,2,1,1
506,-1,-1,outer,0,3,1,0
507,-1,-1,middle,0,3,1,2
508,-1,0,,0,1,0,2
509,-1,-1,outer,1,2,1,1
510,-1,-1,outer,1,2,1,0
511,-1,-1,outer,0,3,1,2
512,-1,-1,outer,0,3,1,1
513,-1,-1,outer,1,2,1,0
514,-1,-1,outer,1,2,1,2
515,-1,-1,outer,1,2,1,1
516,-1,-1,outer,1,2,1,0
517,-1,-1,middle,1,2,1,2
518,-1,-1,outer,1,2,1,1
519,-1,-1,middle,1,2,1,0
520,-1,-1,outer,1,2,1,2
521,-1,-1,outer,1,2,1,1
522,-1,-1,outer,0,3,1,0
523,-1,-1,outer,1,2,1,2
524,-1,-1,middle,1,2,1,1
525,-1,-1,outer,1,2,1,0
526,-1,0,,0,1,0,0
527,-1,-1,outer,0,3,1,2
528,-1,-1,outer,1,2,1,1
529,-1,0,,0,1,0,1
530,-1,-1,outer,1,2,1,0
531,-1,-1,outer,0,3,1,2
532,-1,-1,middle,1,2,1,1
533,-1,-1,outer,1,2,1,0
534,-1,-1,outer,0,3,1,2
535,-1,-1,middle,1,2,1,1
536,-1,-1,outer,0,3,1,0
537,-1,-1,outer,1,2,1,2
538,-1,-1,outer,1,2,1,1
539,-1,-1,outer,1,2,1,0
540,-1,-1,outer,1,2,1,2
541,-1,-1,outer,1,2,1,1
542,-1,-1,outer,0,3,1,0
543,-1,0,,0,1,0,0
544,-1,0,,0,1,0,0
545,-1,-1,middle,1,2,-1,2
546,-1,-1,outer,1,2,1,1
547,-1,-1,outer,1,2,1,0
548,-1,-1,outer,1,2,1,2
549,-1,-1,outer,1,2,1,1
550,-1,-1,middle,1,2,1,0
551,-1,-1,outer,1,2,1,2
552,-1,0,,0,1,0,2
553,-1,-1,middle,0,3,1,1
554,-1,-1,outer,1,2,1,0
555,-1,-1,outer,0,3,1,2
556,-1,-1,outer,0,3,1,1
557,-1,-1,outer,0,3,1,0
558,-1,-1,outer,1,2,1,2
559,-1,-1,outer,1,2,1,1
560,-1,-1,outer,0,3,1,0
561,-1,-1,outer,0,3,1,2
562,-1,-1,outer,1,2,1,1
563,-1,-1,outer,1,2,1,0
564,-1,-1,outer,1,2,1,2
565,-1,-1,outer,1,2,1,1
566,-1,-1,middle,1,2,1,0
567,-1,-1,outer,1,2,1,2
568,-1,-1,outer,0,3,1,1
569,-1,0,,0,1,0,1
570,-1,-1,outer,1,2,1,0
571,-1,-1,outer,1,2,1,2
572,-1,-1,outer,0,3,1,1
573,-1,-1,middle,1,2,1,0
574,-1,-1,outer,1,2,1,2
575,-1,-1,outer,1,2,1,1
576,-1,-1,outer,1,2,1,0
577,-1,-1,outer,1,2,1,2
578,-1,-1,outer,0,3,1,1
579,-1,-1,outer,1,2,1,0
580,-1,-1,outer,1,2,1,2
581,-1,0,,0,1,0,2
582,-1,-1,outer,1,2,1,1
583,-1,-1,outer,1,2,1,0
584,-1,-1,outer,1,2,1,2
585,-1,-1,outer,0,3,1,1
586,-1,-1,outer,1,2,1,0
587,-1,-1,outer,1,2,1,2
588,-1,-1,outer,1,2,1,1
589,-1,-1,outer,1,2,1,0
590,-1,-1,outer,1,2,1,2
591,-1,-1,middle,0,3,1,1
592,-1,-1,outer,1,2,1,0
593,-1,-1,outer,1,2,1,2
594,-1,-1,middle,0,3,1,1
595,-1,-1,outer,0,3,1,0
596,-1,-1,outer,1,2,1,2
597,-1,-1,outer,1,2,1,1
598,-1,-1,outer,0,3,1,0
599,-1,0,,0,1,0,0
600,-1,-1,middle,1,2,1,2
601,-1,-1,middle,0,3,1,1
602,-1,0,,0,1,0,1
603,-1,-1,outer,1,2,1,0
604,-1,0,,0,1,0,0
605,-1,-1,outer,1,2,1,2
606,-1,-1,outer,1,2,1,1
607,-1,-1,outer,0,3,1,0
608,-1,-1,outer,1,2,1,2
609,-1,-1,outer,1,2,1,1
610,-1,0,,0,1,0,1
611,-1,-1,outer,1,2,1,0
612,-1,0,,0,1,0,0
613,-1,-1,outer,1,2,1,2
614,-1,-1,outer,0,3,1,1
615,-1,-1,outer,0,3,1,0
616,-1,-1,outer,1,2,1,2
617,-1,-1,outer,1,2,1,1
618,-1,0,,0,1,0,1
619,-1,-1,outer,1,2,1,0
620,-1,-1,outer,1,2,1,2
621,-1,-1,outer,1,2,1,1
622,-1,-1,outer,1,2,1,0
623,-1,-1,middle,1,2,1,2
624,-1,-1,outer,1,2,1,1
625,-1,-1,outer,1,2,1,0
626,-1,-1,outer,0,3,1,2
627,-1,-1,outer,1,2,1,1
628,-1,-1,outer,1,2,1,0
629,-1,-1,outer,0,3,1,2
630,-1,-1,middle,0,3,1,1
631,-1,-1,outer,1,2,1,0
632,-1,-1,middle,1,2,1,2
633,-1,-1,middle,1,2,1,1
634,-1,-1,outer,1,2,1,0
635,-1,-1,outer,1,2,1,2
636,-1,-1,outer,1,2,1,1
637,-1,0,,0,1,0,1
638,-1,-1,outer,1,2,1,0
639,-1,-1,outer,0,3,1,2
640,-1,-1,outer,0,3,1,1
641,-1,-1,outer,0,3,1,0
642,-1,-1,outer,1,2,1,2
643,-1,-1,outer,1,2,1,1
644,-1,-1,outer,1,2,1,0
645,-1,-1,outer,1,2,1,2
646,-1,-1,middle,1,2,1,1
647,-1,-1,outer,1,2,1,0
648,-1,-1,outer,1,2,1,2
649,-1,-1,middle,1,2,-1,1
650,-1,-1,outer,1,2,1,0
651,-1,-1,outer,1,2,1,2
652,-1,-1,outer,0,3,1,1
653,-1,-1,outer,1,2,1,0
654,-1,-1,outer,1,2,1,2
655,-1,-1,outer,1,2,1,1
656,-1,-1,outer,1,2,1,0
657,-1,-1,outer,0,3,1,2
658,-1,-1,outer,0,3,1,1
659,-1,0,,0,1,0,1
660,-1,0,,0,1,0,1
661,-1,-1,outer,1,2,1,0
662,-1,-1,outer,1,2,1,2
663,-1,-1,outer,1,2,1,1
664,-1,-1,middle,0,3,1,0
665,-1,-1,outer,0,3,1,2
666,-1,0,,0,1,0,2
667,-1,-1,outer,1,2,1,1
668,-1,-1,outer,0,3,1,0
669,-1,0,,0,1,0,0
670,-1,-1,middle,1,2,1,2
671,-1,0,,0,1,0,2
672,-1,-1,outer,0,3,1,1
673,-1,-1,outer,1,2,1,0
674,-1,-1,outer,0,3,1,2
675,-1,-1,outer,1,2,1,1
676,-1,0,,0,1,0,1
677,-1,-1,outer,1,2,1,0
678,-1,-1,middle,1,2,1,2
679,-1,-1,outer,1,2,1,1
680,-1,-1,outer,1,2,1,0
681,-1,-1,outer,1,2,1,2
682,-1,-1,outer,0,3,1,1
683,-1,-1,outer,1,2,1,0
684,-1,-1,outer,0,3,1,2
685,-1,-1,outer,0,3,1,1
686,-1,0,,0,1,0,1
687,-1,-1,outer,1,2,1,0
688,-1,-1,middle,1,2,1,2
689,-1,0,,0,1,0,2
690,-1,-1,outer,1,2,1,1
691,-1,-1,middle,1,2,1,0
692,-1,-1,outer,1,2,1,2
693,-1,-1,middle,1,2,1,1
694,-1,-1,outer,1,2,1,0
695,-1,0,,0,1,0,0
696,-1,-1,outer,0,3,1,2
697,-1,-1,outer,1,2,1,1
698,-1,-1,outer,1,2,1,0
699,-1,-1,outer,1,2,1,2
700,-1,-1,middle,0,3,1,1
701,-1,-1,outer,1,2,1,0
702,-1,0,,0,1,0,0
703,-1,0,,0,1,0,0
704,-1,-1,outer,0,3,1,2
705,-1,-1,outer,1,2,1,1
706,-1,-1,outer,1,2,1,0
707,-1,-1,outer,0,3,1,2
708,-1,-1,outer,1,2,1,1
709,-1,-1,outer,1,2,1,0
710,-1,-1,outer,1,2,1,2
711,-1,-1,middle,1,2,1,1
712,-1,-1,outer,0,3,1,0
713,-1,-1,outer,1,2,1,2
714,-1,-1,outer,1,2,1,1
715,-1,-1,outer,0,3,1,0
716,-1,-1,outer,1,2,1,2
717,-1,-1,outer,0,3,1,1
718,-1,-1,outer,1,2,1,0
719,-1,-1,outer,1,2,1,2
720,-1,-1,middle,1,2,1,1
721,-1,0,,0,1,0,1
722,-1,-1,outer,0,3,1,0
723,-1,-1,outer,1,2,1,2
724,-1,-1,outer,0,3,1,1
725,-1,-1,middle,1,2,1,0
726,-1,-1,outer,1,2,1,2
727,-1,-1,outer,1,2,1,1
728,-1,-1,outer,1,2,1,0
729,-1,0,,0,1,0,0
730,-1,-1,middle,1,2,-1,2
731,-1,-1,outer,1,2,1,1
732,-1,-1,outer,1,2,1,0
733,-1,-1,outer,0,3,1,2
734,-1,-1,outer,1,2,1,1
735,-1,-1,outer,1,2,1,0
736,-1,-1,middle,1,2,1,2
737,-1,-1,outer,1,2,1,1
738,-1,-1,outer,1,2,1,0
739,-1,-1,outer,1,2,1,2
740,-1,0,,0,1,0,2
741,-1,-1,outer,0,3,1,1
742,-1,-1,outer,0,3,1,0
743,-1,0,,0,1,0,0
744,-1,-1,outer,1,2,1,2
745,-1,0,,0,1,0,2
746,-1,-1,outer,0,3,1,1
