counterfactual_order,counterfactual_id,mutation_class,expected_gate_result,observed_gate_result,observed_failure_reasons,counterfactual_audit_status,counterfactual_row_sha256
21,identity_counterfactual_without_new_scope,identity_binding,failed,failed,contract_identity_binding_mismatch;identity_isotope_label_mismatch;identity_mass_number_mismatch;identity_neutron_count_mismatch;occurrence_identity_binding_mismatch;read_only_identity_occurrence_binding_mismatch,passed,86e02c1eb750e54f7c965201671881e79f7ede20c1ad96a8963519c69fa18763
22,identity_source_plan_hash_mutation,source_binding,failed,failed,contract_identity_binding_mismatch;identity_identity_source_plan_row_sha256_mismatch;occurrence_identity_binding_mismatch;read_only_identity_occurrence_binding_mismatch,passed,8b8c361ac4d24f6105bf6b77de9dbd979e1b1532d6c69b15f117c588982becd2
23,unknown_field_identity_Balmer_ratio,packet_schema_closure,failed,failed,identity_schema_key_set_mismatch,passed,b6d2965d592b82648ef022a18583a0803a7405f71eaeecfba3927ad59f98846a
24,unknown_field_identity_metric_duration_seconds,packet_schema_closure,failed,failed,identity_schema_key_set_mismatch,passed,39a7e29d6326aa38ced882f8d30c56ac8695309c68e679072a922d549adbf904
25,unknown_field_identity_target_value,packet_schema_closure,failed,failed,identity_schema_key_set_mismatch,passed,9c7e00d93e046413505067f085d965abc88041bdc4ddc4521c52f1ed5c1cba6f
26,unknown_field_identity_residual,packet_schema_closure,failed,failed,identity_schema_key_set_mismatch,passed,bc6f146bcfa39f51efb55a036a3ac9b2daa5fb444cd0f59fda2e2e376f9d6314
27,unknown_field_identity_score,packet_schema_closure,failed,failed,identity_schema_key_set_mismatch,passed,e65c7b2c3caadc688266dca901a505f007951b5fecc39c1d342a9ab19499f287
28,unknown_field_contract_Balmer_ratio,packet_schema_closure,failed,failed,contract_schema_key_set_mismatch,passed,d8849af577ace73511a706571fd7379f35cf4d1df6c5ed161b2b61ce79171958
29,unknown_field_contract_metric_duration_seconds,packet_schema_closure,failed,failed,contract_schema_key_set_mismatch,passed,dcb4232e9b9e87551bb53013237dff3e1ab4e6fc2385a36daa4e8c80b92f6528
30,unknown_field_contract_target_value,packet_schema_closure,failed,failed,contract_schema_key_set_mismatch,passed,e3a2e1f8347dfc8877d99262e6b1926d7e11ad8930fe1bac6cd81f1c5b1b9092
31,unknown_field_contract_residual,packet_schema_closure,failed,failed,contract_schema_key_set_mismatch,passed,d23ebac55c0f9be088963656961c8c85f6b621a8db4ce2552b04d85b5860d902
32,unknown_field_contract_score,packet_schema_closure,failed,failed,contract_schema_key_set_mismatch,passed,6215bda4e35bdd023505ce68330c2ab544572a9be88fcf975ddf515a5f8f7b42
33,unknown_field_occurrence_Balmer_ratio,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,2169e36ad1b5632f0133aa3df0a3db6eaf1c2205d733cb9efae911363a055e55
34,unknown_field_occurrence_metric_duration_seconds,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,920858713191d396e4853435c25f8696a0461653e04ceb71cce9fe68fbbdeabf
35,unknown_field_occurrence_target_value,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,da2c45b5f747031f5b25131de62ed986a153ad30ed2716ea6334f773ebdf7b7a
36,unknown_field_occurrence_residual,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,ad7b1da88a0dbb6f5bbb54fa0deff7f535cfe6ec2a57718c1608bb377cc86536
37,unknown_field_occurrence_score,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,d102ddfc6d1e71b02e0f395eb513f84521bf4fcab70945a54f258830de86b218
38,unknown_field_states_Balmer_ratio,packet_schema_closure,failed,failed,states_0_schema_key_set_mismatch,passed,e573785a0e916542126886d3ff827ff595dac91e60cc2aaae26c564cbdfa8d72
39,unknown_field_states_metric_duration_seconds,packet_schema_closure,failed,failed,states_0_schema_key_set_mismatch,passed,c427a8f67a2f7ca3bef98628c5a026273160b367a4aba4ee21d43e0ecd6be730
40,unknown_field_states_target_value,packet_schema_closure,failed,failed,states_0_schema_key_set_mismatch,passed,52c627139f2a7afc324cca1d798dd2aaf19d79cc134228da1b7d37cd5d2df2a3
41,unknown_field_states_residual,packet_schema_closure,failed,failed,states_0_schema_key_set_mismatch,passed,fc9fdf087906dff9e63ec17345045b530e45bfe861f57cb5e9030d0a864217cf
42,unknown_field_states_score,packet_schema_closure,failed,failed,states_0_schema_key_set_mismatch,passed,ead00a5aea430a2234bc99ecbbe8e478e168498be8133174c350f418121d80f6
43,unknown_field_inventory_Balmer_ratio,packet_schema_closure,failed,failed,inventory_0_schema_key_set_mismatch,passed,6a453456e252f39c499f71cd0d2d47956f649f50e259fc8b43f732947cabf47e
44,unknown_field_inventory_metric_duration_seconds,packet_schema_closure,failed,failed,inventory_0_schema_key_set_mismatch,passed,aa5e40b122af3bab555fc9990ab4ece59c76b3f8b7e6c242ac7c5dca5461985f
45,unknown_field_inventory_target_value,packet_schema_closure,failed,failed,inventory_0_schema_key_set_mismatch,passed,7d9d434bbd9c318476c98bbd767a744e7757371df65cb4b8cdd95113cd910f41
46,unknown_field_inventory_residual,packet_schema_closure,failed,failed,inventory_0_schema_key_set_mismatch,passed,4cc3f47568f8efa33addbcf38bb4382935f55492884f59083cab388bf6dd3a86
47,unknown_field_inventory_score,packet_schema_closure,failed,failed,inventory_0_schema_key_set_mismatch,passed,6757e301d744d2724f6c1721a3b86eaa65f4ca099c047e5871a58ce253373b38
48,unknown_field_kernel_Balmer_ratio,packet_schema_closure,failed,failed,kernel_0_schema_key_set_mismatch,passed,a137be59ec735f8a5c01aa96f485ddbfcf8aba0dfa496b0a9fed55f4b671cd87
49,unknown_field_kernel_metric_duration_seconds,packet_schema_closure,failed,failed,kernel_0_schema_key_set_mismatch,passed,177523b12e8e119a7265cfa3d1ad775a32ceb31fda1f7e9342589f60d67e33b8
50,unknown_field_kernel_target_value,packet_schema_closure,failed,failed,kernel_0_schema_key_set_mismatch,passed,0a5ca48d7a9d81c1d48191e8e0de27c8e5e34c2fd93bf22be00e2e4b4e7d3103
51,unknown_field_kernel_residual,packet_schema_closure,failed,failed,kernel_0_schema_key_set_mismatch,passed,95a4921586cb624d0f5f490ecf1bc3c5db5849415b3646b23f81c25c06d23f6a
52,unknown_field_kernel_score,packet_schema_closure,failed,failed,kernel_0_schema_key_set_mismatch,passed,7bb5f0d7fdc55c6ad7fc87174453d7817f4d5d957fb2a7825b4fff682a27826c
53,unknown_field_execution_Balmer_ratio,packet_schema_closure,failed,failed,execution_0_schema_key_set_mismatch,passed,4bc385a43425ec54663faeca81113e6a6d8907719d1df3b1656068d63a7418b9
54,unknown_field_execution_metric_duration_seconds,packet_schema_closure,failed,failed,execution_0_schema_key_set_mismatch,passed,bfdf9364788b7c8033a8d3c45baf59bae0ea150718d8f1a79a825b46f4c23b32
55,unknown_field_execution_target_value,packet_schema_closure,failed,failed,execution_0_schema_key_set_mismatch,passed,fa7a97a0f9ffbba840a0ee657164103e009889d439e289aff96f2b3e23a7c478
56,unknown_field_execution_residual,packet_schema_closure,failed,failed,execution_0_schema_key_set_mismatch,passed,cd1685a93622ed5aeb57a3344d17e04440816eae67767ca8744f3409083017e0
57,unknown_field_execution_score,packet_schema_closure,failed,failed,execution_0_schema_key_set_mismatch,passed,299e1c5b5d0cce8d1d6ef0fc541716f439b8160d892e43255d9b8289d89332a4
58,unknown_field_read_only_Balmer_ratio,packet_schema_closure,failed,failed,read_only_schema_key_set_mismatch,passed,b7bee08c24e87f0b1d183dacddeca3f282c456d8620355eec31da0aca727ab41
59,unknown_field_read_only_metric_duration_seconds,packet_schema_closure,failed,failed,read_only_schema_key_set_mismatch,passed,3f1383e8e82da3a91a17dcf0e26cc8a94c0771c8f5e8b707c7188b22813a3bf8
60,unknown_field_read_only_target_value,packet_schema_closure,failed,failed,read_only_schema_key_set_mismatch,passed,fe2d25defd5366aaaddbc57a525e076b85c7e278129c3650d5df2d13574406bb
61,unknown_field_read_only_residual,packet_schema_closure,failed,failed,read_only_schema_key_set_mismatch,passed,351db5fb30343a5c2684f82194b272d40cc7d10a6019772e125c9bbb788a0561
62,unknown_field_read_only_score,packet_schema_closure,failed,failed,read_only_schema_key_set_mismatch,passed,38b62a13aacf717ac8b51ed4748e1e08e8f0529948267bb35a434ead3f9d5010
63,out_of_range_edge_slot_structured_failure,malformed_packet,failed,failed,edge_slot_out_of_range;event_0_admitted_edge_count_mismatch;event_0_kernel_probability_sum_mismatch;event_0_slot_order_mismatch;execution_admitted_edge_binding_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,4b9043c4ab868670a1e32b47cbdd437021f1cd66382b35883f2f8227d580e61b
64,malformed_weight_structured_failure,malformed_packet,failed,failed,admitted_weight_not_positive;execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_weight_mismatch;inventory_weight_not_integer;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,6fd1d92a618b18e5cb4c96106992f1b26cdb59845739febac7528a875ac29e80
65,missing_identity_packet_structured_failure,malformed_packet,failed,failed,packet_identity_missing;packet_root_schema_mismatch,passed,aa24d2b4a731ae6bccb8de851aeb16e1885c82f775aa824d2321d76f4574d33e
66,missing_occurrence_required_field,packet_schema_closure,failed,failed,occurrence_schema_key_set_mismatch,passed,9b25ee0de59730dc201fe8019cee5471a023ae915eef869b15ae08ebf04363dd
67,unchanged_control,control,passed,passed,,passed,13e5b11980015663f21fb4240b7aa5b34e3d244814672783045f30ee5240f7f0
