update_index,lead,lag,span,compatibility,padar_burden,shed_excess,outward_shedding,local_reclosure,state
61,0.6220775094745363,0.5455205581842478,0.0765569512902885,0.4824663847373638,0.23120451068314257,0.0,0.0,0.0,open
62,0.6259787697960372,0.5145650814711886,0.11141368832484855,0.4885890001352179,0.2508652273388436,0.0,0.0,0.0,open
63,0.6221236981683905,0.4832457760579931,0.1388779221103974,0.4956152528093183,0.28209234357857027,0.0,0.0,0.0,open
64,0.6109401902893351,0.45306766539309656,0.15787252489623854,0.5033430102628971,0.3181456104273588,0.0,0.0,0.0,open
65,0.5933216112316159,0.4250632658807079,0.16825834535090795,0.5115499589839075,0.3534214904934336,0.0,0.0,0.0,open
66,0.5705089185984974,0.39984062751567806,0.17066829108281933,0.52,0.38367318230016617,0.0,0.0,0.0,open
67,0.543950951363725,0.37768892176170377,0.1662620296020212,0.5284500410160925,0.4060561257672479,0.0,0.0,0.0,open
68,0.5151663135868332,0.35869989972295935,0.15646641386387383,0.5366569897371029,0.41902255075427386,0.0,0.0,0.0,open
69,0.4856260020687929,0.3428726295720412,0.14275337249675174,0.5443847471906818,0.422112846491718,0.0,0.0,0.0,open
70,0.45666818372019613,0.330183746410088,0.1264844373101081,0.5514109998647821,0.41569897464376815,0.0,0.0,0.0,open
71,0.42944780561313756,0.320619897798155,0.10882790781498258,0.5575336152626362,0.4007285085061303,0.0,0.0,0.0,open
72,0.4049163652698643,0.3141792110854348,0.09073715418442951,0.5625764568866656,0.37850281177646306,0.0,0.0,0.0,open
73,0.38382271504434384,0.3108532547841482,0.07296946026019563,0.5663944513648255,0.3505055087998073,0.0,0.0,0.0,open
74,0.36672465015326616,0.31060103352973406,0.0561236166235321,0.5688777619473844,0.31828250635878463,0.0,0.0,0.0,open
75,0.35400267147772124,0.31332392951778976,0.040678741959931486,0.5699549483102341,0.2833649632921657,0.0,0.0,0.0,open
76,0.34587056515565473,0.3188470243578766,0.027023540797778134,0.5695950217629439,0.24722221733835384,0.0,0.0,0.0,open
77,0.3423810330555354,0.3269091451762401,0.01547188787929532,0.5678083367369626,0.21123175655106255,0.0,0.0,0.0,open
78,0.34342754680183274,0.3371618177039613,0.006265729097871431,0.5646462929074785,0.17665619137570057,0.0,0.0,0.0,open
79,0.34874535357337966,0.3491760963195981,0.00043074274621845987,0.560199856518347,0.1450949854384946,0.0,0.0,0.0,open
80,0.3579150657149991,0.3624557355935117,0.004540669878512593,0.5545969434488774,0.1214752564927475,0.0,0.0,0.0,open
81,0.37037177488901074,0.37645507794035526,0.006083303051344524,0.5479987393068798,0.10295552700229244,0.0,0.0,0.0,open
82,0.38542154699026515,0.39060012798668814,0.005178580996422988,0.5405950624121997,0.08727175168991244,0.0,0.0,0.0,open
83,0.40226586999217506,0.40431142993406544,0.0020455599418903736,0.5325989030692564,0.0726878943537679,0.0,0.0,0.0,open
84,0.420033437055444,0.41702750097921865,0.003005936076225346,0.5242402962237755,0.06125733821201362,0.0,0.0,0.0,open
85,0.43781771799103647,0.4282276906646769,0.009590027326359551,0.5157597037762247,0.05550553236334892,0.0,0.0,0.0,open
86,0.45471815994494075,0.4374534427831163,0.017264717161824428,0.5074010969307438,0.05501013097694954,0.0,0.0,0.0,open
87,0.46988254700172744,0.4443270473601585,0.025555499641568946,0.49940493758780036,0.05916383220396154,0.0,0.0,0.0,open
88,0.4825479877191277,0.44856709603882317,0.03398089168030455,0.4920012606931202,0.06720383283141595,0.0,0.0,0.0,open
89,0.4920781314974545,0.4500000000401143,0.042078131457340184,0.4854030565511228,0.07825011522329818,0.0,0.0,0.0,open
