galaxy,R,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,U_obs,sigma_U,U_gas,U_disk,U_bulge,U_bar,lambda_ret,density_index,gas_star_index,bobbing_index,C_cap,D_BF,U_AO,V_disp,Delta_U,z_U
NGC2403,13.42,133.0,3.37,46.75,58.37,0.0,0.05,0.0,17689.0,896.4200000000001,2185.5625,3407.0568999999996,0.0,3889.09095,1.0,0.0,0.0,0.0,1410.7104000000002,1410.7104000000002,15174.774150000001,123.18593324726652,-2514.225849999999,-2.804740913857342
NGC2403,13.91,133.0,3.81,46.25,57.26,0.0,0.04,0.0,17689.0,1013.46,2139.0625,3278.7075999999997,0.0,3778.4163,1.0,0.0,0.0,0.0,1439.8240999999998,1439.8240999999998,15297.0091,123.68107818094083,-2391.9909000000007,-2.3602223077378492
NGC2403,14.41,133.0,2.56,45.95,56.12,0.0,0.03,0.0,17689.0,680.96,2111.4025,3149.4543999999996,0.0,3686.1297,1.0,0.0,0.0,0.0,1470.8287,1470.8287,15452.7593,124.30912798342686,-2236.2407000000003,-3.2839530956296996
NGC2403,14.91,134.0,0.56,45.66,55.05,0.0,0.02,0.0,17956.0,150.08,2084.8356,3030.5024999999996,0.0,3600.0868499999997,1.0,0.0,0.0,0.0,1501.5861,1501.5861,15612.77565,124.95109303243409,-2343.2243500000004,-15.613168643390193
NGC2403,15.4,134.0,0.79,45.26,54.06,0.0,0.01,0.0,17956.0,211.72,2048.4676,2922.4836,0.0,3509.7093999999997,1.0,0.0,0.0,0.0,1529.528,1529.528,15745.9334,125.48280121195893,-2210.0666,-10.438629321745703
NGC2403,15.9,133.0,0.67,44.76,53.11,0.0,0.01,0.0,17689.0,178.22,2003.4575999999997,2820.6721,0.0,3413.7936499999996,1.0,0.0,0.0,0.0,1556.133,1556.133,15862.85765,125.94783701993457,-1826.14235,-10.246562394792953
NGC2403,16.4,134.0,2.35,44.16,52.26,0.0,0.01,0.0,17956.0,629.8000000000001,1950.1055999999996,2731.1076,0.0,3315.6593999999996,1.0,0.0,0.0,0.0,1581.2879999999996,1581.2879999999996,15965.963399999997,126.3564933036684,-1990.036600000003,-3.1597913623372547
NGC2403,16.89,134.0,4.13,43.36,51.43,0.0,0.0,0.0,17956.0,1106.84,1880.0896,2645.0449,0.0,3202.6120499999997,1.0,0.0,0.0,0.0,1601.0031,1601.0031,16010.636849999999,126.5331452624173,-1945.363150000001,-1.7575829839904604
NGC2403,17.39,136.0,3.91,42.67,50.61,0.0,0.0,0.0,18496.0,1063.52,1820.7289,2561.3721,0.0,3101.4149500000003,1.0,0.0,0.0,0.0,1622.1392,1622.1392,16078.52855,126.80113781035247,-2417.471449999999,-2.2730850853768607
NGC2403,17.89,136.0,6.38,41.87,49.84,0.0,0.0,0.0,18496.0,1735.36,1753.0968999999998,2484.0256000000004,0.0,2995.1097,1.0,0.0,0.0,0.0,1640.6919000000003,1640.6919000000003,16120.644900000003,126.96710164448113,-2375.355099999997,-1.3687967338189178
NGC2403,18.38,135.0,8.39,41.07,49.16,0.0,0.0,0.0,18225.0,2265.3,1686.7449,2416.7056,0.0,2895.0977,1.0,0.0,0.0,0.0,1658.4273999999998,1658.4273999999998,16162.516899999999,127.13188781733716,-2062.4831000000013,-0.9104679733368654
NGC2403,18.88,133.0,7.83,40.27,48.46,0.0,0.0,0.0,17689.0,2082.78,1621.6729000000003,2348.3716,0.0,2795.8587,1.0,0.0,0.0,0.0,1675.2223999999999,1675.2223999999999,16197.6379,127.26994107015214,-1491.3621000000003,-0.7160439892835537
NGC2403,19.38,134.0,6.26,39.87,47.78,0.0,0.0,0.0,17956.0,1677.6799999999998,1589.6168999999998,2282.9284000000002,0.0,2731.0811,1.0,0.0,0.0,0.0,1698.657,1698.657,16320.337099999999,127.7510747508607,-1635.6629000000012,-0.9749552358018223
NGC2403,19.87,136.0,5.6,39.87,47.15,0.0,0.0,0.0,18496.0,1523.1999999999998,1589.6168999999998,2223.1225,0.0,2701.1781499999997,1.0,0.0,0.0,0.0,1729.0874000000001,1729.0874000000001,16533.877350000002,128.58412557543798,-1962.1226499999975,-1.2881582523634438
NGC2403,20.37,135.0,5.24,39.87,46.52,0.0,0.0,0.0,18225.0,1414.8,1589.6168999999998,2164.1104000000005,0.0,2671.6721,1.0,0.0,0.0,0.0,1759.7643,1759.7643,16749.786500000002,129.42096623036008,-1475.213499999998,-1.0427010884930719
NGC2403,20.87,134.0,3.12,39.87,45.97,0.0,0.0,0.0,17956.0,836.1600000000001,1589.6168999999998,2113.2409,0.0,2646.2373499999994,1.0,0.0,0.0,0.0,1791.4808,1791.4808,16978.083749999998,130.29997601688189,-977.916250000002,-1.1695324459433625
NGC3198,0.32,24.4,35.9,0.0,63.28,0.0,1084.92,0.0,595.3599999999999,1751.9199999999998,0.0,4004.3584,0.0,2002.1792,1.0,0.0,0.0,0.0,20.2496,20.2496,2164.176,46.52070506774376,1568.816,0.8954838120462123
NGC3198,0.64,43.3,16.3,0.0,73.66,0.0,590.57,0.0,1874.8899999999996,1411.58,0.0,5425.7955999999995,0.0,2712.8977999999997,1.0,0.0,0.0,0.0,47.1424,47.1424,3090.037,55.588101244780795,1215.1470000000002,0.8608417517958601
NGC3198,0.96,45.5,16.1,0.0,78.98,0.0,410.97,0.0,2070.25,1465.1000000000001,0.0,6237.840400000001,0.0,3118.9202000000005,1.0,0.0,0.0,0.0,75.8208,75.8208,3725.4866000000006,61.03676433101611,1655.2366000000006,1.129777216572248
NGC3198,1.28,58.5,15.4,0.35,82.7,0.0,329.34,0.0,3422.25,1801.8,0.12249999999999998,6839.290000000001,0.0,3419.7675000000004,1.0,0.0,0.0,0.0,106.304,106.304,4270.199500000001,65.34676350057438,847.9495000000006,0.4706124431124435
NGC3198,1.61,68.8,7.61,0.15,84.22,0.0,268.62,0.0,4733.44,1047.136,0.0225,7093.0084,0.0,3546.5267,1.0,0.0,0.0,0.0,135.8357,135.8357,4633.2123,68.06770379555931,-100.22769999999946,-0.09571602924548431
NGC3198,1.93,76.9,10.3,-0.05,83.17,0.0,247.67,0.0,5913.610000000001,1584.1400000000003,0.0025000000000000005,6917.2489000000005,0.0,3458.6269500000003,1.0,0.0,0.0,0.0,160.6146,160.6146,4743.543750000001,68.8733892733616,-1170.0662499999999,-0.73861290668754
NGC3198,2.24,82.0,8.09,-0.47,87.04,0.0,227.56,0.0,6724.0,1326.76,0.22089999999999999,7575.961600000001,0.0,3788.2017000000005,1.0,0.0,0.0,0.0,196.02240000000003,196.02240000000003,5356.380900000001,73.18730012782272,-1367.619099999999,-1.030796150019596
NGC3198,2.57,86.9,7.6,-0.95,88.91,0.0,205.02,0.0,7551.610000000001,1320.88,0.9025,7904.9881,0.0,3953.39655,1.0,0.0,0.0,0.0,230.94019999999998,230.94019999999998,5800.9181499999995,76.16375877016574,-1750.691850000001,-1.3253981058082498
NGC3198,2.89,97.6,3.03,-1.43,88.98,0.0,200.2,0.0,9525.759999999998,591.4559999999999,2.0448999999999997,7917.4404,0.0,3960.7651,1.0,0.0,0.0,0.0,261.28490000000005,261.28490000000005,6051.0443000000005,77.78845865551007,-3474.715699999998,-5.874850707406804
NGC3198,3.21,100.0,5.31,-1.14,93.81,0.0,208.58,0.0,10000.0,1062.0,1.2995999999999999,8800.3161,0.0,4401.45765,1.0,0.0,0.0,0.0,304.78950000000003,304.78950000000003,6839.773650000001,82.70292407164332,-3160.226349999999,-2.9757310263653474
NGC3198,3.54,107.0,7.51,-0.39,101.22,0.0,208.47,0.0,11449.0,1607.1399999999999,0.1521,10245.4884,0.0,5122.8963,1.0,0.0,0.0,0.0,359.6994,359.6994,8000.4915,89.4454666263193,-3448.5085,-2.1457424368754436
NGC3198,3.85,113.0,7.32,0.36,108.53,0.0,196.07,0.0,12769.0,1654.3200000000002,0.1296,11778.760900000001,0.0,5889.510050000001,1.0,0.0,0.0,0.0,419.2265,419.2265,9243.32205,96.14219703127239,-3525.6779499999993,-2.1311946600415874
NGC3198,4.17,117.0,5.21,1.52,115.51,0.0,179.96,0.0,13689.0,1219.14,2.3104,13342.5601,0.0,6673.590450000001,1.0,0.0,0.0,0.0,488.0151,488.0151,10577.71125,102.84800070978531,-3111.2887499999997,-2.552035656282297
NGC3198,4.5,119.0,5.67,3.07,120.51,0.0,164.19,0.0,14161.0,1349.46,9.4249,14522.660100000001,0.0,7270.7549500000005,1.0,0.0,0.0,0.0,556.11,556.11,11719.63495,108.25726280485758,-2441.3650500000003,-1.8091422124405319
NGC3198,4.82,127.0,5.39,4.63,125.42,0.0,150.99,0.0,16129.0,1369.06,21.436899999999998,15730.1764,0.0,7886.5251,1.0,0.0,0.0,0.0,626.8410000000001,626.8410000000001,12901.253100000002,113.58368324719885,-3227.7468999999983,-2.3576372839758655
NGC3198,5.15,132.0,4.34,6.02,129.4,0.0,138.08,0.0,17424.0,1145.76,36.240399999999994,16744.36,0.0,8408.4204,1.0,0.0,0.0,0.0,697.4130000000001,697.4130000000001,13987.724400000003,118.26971040803306,-3436.275599999997,-2.9991233766233742
NGC3198,5.46,134.0,2.36,7.16,133.15,0.0,126.0,0.0,17956.0,632.48,51.2656,17728.9225,0.0,8915.726850000001,1.0,0.0,0.0,0.0,766.0926000000001,766.0926000000001,15044.467650000002,122.65589121603577,-2911.5323499999977,-4.603358762332402
NGC3198,5.78,137.0,0.89,8.31,136.45,0.0,113.63,0.0,18769.0,243.86,69.05610000000001,18618.602499999997,0.0,9378.357349999998,1.0,0.0,0.0,0.0,836.7128,836.7128,16072.059749999999,126.77562758669349,-2696.9402500000015,-11.059379357008124
NGC3198,6.1,140.0,2.84,9.46,139.41,0.0,101.19,0.0,19600.0,795.1999999999999,89.49160000000002,19435.1481,0.0,9807.065649999999,1.0,0.0,0.0,0.0,908.107,908.107,17071.921649999997,130.65956394386137,-2528.0783500000034,-3.179172975352117
NGC3198,6.43,142.0,0.88,10.61,141.85,0.0,86.52,0.0,20164.0,249.92,112.57209999999999,20121.422499999997,0.0,10173.283349999998,1.0,0.0,0.0,0.0,980.3177999999998,980.3177999999998,18015.825749999996,134.22304477994825,-2148.1742500000037,-8.595447543213844
NGC3198,6.74,144.0,1.23,11.77,142.32,0.0,70.23,0.0,20736.0,354.24,138.53289999999998,20254.982399999997,0.0,10266.024099999999,1.0,0.0,0.0,0.0,1038.5666,1038.5666,18574.5569,136.28850611845445,-2161.4431000000004,-6.101634767389341
NGC3198,7.06,146.0,1.57,12.87,140.94,0.0,57.67,0.0,21316.0,458.44,165.63689999999997,19864.083599999998,0.0,10097.678699999999,1.0,0.0,0.0,0.0,1085.8986,1085.8986,18784.8675,137.05789834956613,-2531.1324999999997,-5.521185978535904
NGC3198,8.04,147.0,3.0,16.39,135.68,0.0,40.74,0.0,21609.0,882.0,268.63210000000004,18409.062400000003,0.0,9473.163300000002,1.0,0.0,0.0,0.0,1222.6427999999999,1222.6427999999999,19254.3057,138.7598850532819,-2354.694299999999,-2.6697214285714277
NGC3198,9.04,148.0,3.0,20.03,130.79,0.0,31.83,0.0,21904.0,888.0,401.20090000000005,17106.0241,0.0,8954.21295,1.0,0.0,0.0,0.0,1363.4127999999998,1363.4127999999998,19861.515349999998,140.93088855889613,-2042.4846500000021,-2.300095326576579
NGC3198,10.04,152.0,2.0,23.68,128.1,0.0,26.64,0.0,23104.0,608.0,560.7424,16409.609999999997,0.0,8765.547399999998,1.0,0.0,0.0,0.0,1523.8711999999998,1523.8711999999998,20956.516999999996,144.76365911374305,-2147.483000000004,-3.5320444078947433
NGC3198,11.04,155.0,2.0,27.08,126.67,0.0,21.02,0.0,24025.0,620.0,733.3263999999999,16045.2889,0.0,8755.97085,1.0,0.0,0.0,0.0,1697.3999999999999,1697.3999999999999,22335.17085,149.4495595510405,-1689.8291500000014,-2.7255308870967765
NGC3198,12.05,156.0,2.0,30.11,124.98,0.0,15.42,0.0,24336.0,624.0,906.6120999999999,15620.0004,0.0,8716.6123,1.0,0.0,0.0,0.0,1868.8345000000002,1868.8345000000002,23667.2883,153.8417638354423,-668.7116999999998,-1.0716533653846152
NGC3198,14.05,157.0,2.0,34.48,118.12,0.0,6.42,0.0,24649.0,628.0,1188.8703999999998,13952.334400000002,0.0,8165.037600000001,1.0,0.0,0.0,0.0,2144.03,2144.03,25317.2776,159.11403960681787,668.2776000000013,1.0641363057324862
