t,node,tau_alpha,tau_omega,delay_put,mode_hidden,backlog
283,-,0,0,0,1,0
284,A,-1,0,2,1,1
285,-,0,0,0,1,1
286,-,0,1,0,1,0
287,B,-1,0,1,1,1
288,-,0,1,0,1,0
289,-,0,0,0,1,0
290,-,0,0,0,1,0
291,-,0,0,0,1,0
292,-,0,0,0,1,0
293,-,0,0,0,1,0
294,-,0,0,0,1,0
295,C,-1,0,2,1,1
296,-,0,0,0,1,1
297,-,0,1,0,1,0
298,-,0,0,0,1,0
299,-,0,0,0,1,0
300,-,0,0,0,1,0
301,-,0,0,0,1,0
302,-,0,0,0,1,0
303,-,0,0,0,1,0
304,-,0,0,0,1,0
305,-,0,0,0,1,0
306,A,-1,0,2,1,1
307,-,0,0,0,1,1
308,B,-1,1,4,1,1
309,-,0,0,0,1,1
310,-,0,0,0,1,1
311,-,0,0,0,1,1
312,C,1,1,3,1,1
313,-,0,0,0,1,1
314,-,0,0,0,1,1
315,-,0,-1,0,1,0
316,-,0,0,0,1,0
317,-,0,0,0,1,0
318,A,-1,0,2,1,1
319,-,0,0,0,1,1
320,-,0,1,0,1,0
321,-,0,0,0,1,0
322,-,0,0,0,1,0
323,-,0,0,0,1,0
324,-,0,0,0,1,0
325,B,1,0,3,1,1
326,-,0,0,0,1,1
327,C,-1,0,1,1,2
328,-,0,0,0,1,0
329,A,-1,0,2,1,1
330,-,0,0,0,1,1
331,-,0,1,0,1,0
332,-,0,0,0,1,0
333,-,0,0,0,1,0
334,-,0,0,0,1,0
335,-,0,0,0,1,0
336,-,0,0,0,1,0
337,-,0,0,0,1,0
338,B,-1,0,2,1,1
339,-,0,0,0,1,1
340,-,0,1,0,1,0
341,-,0,0,0,1,0
342,C,-1,0,2,1,1
343,A,-1,0,2,1,2
344,-,0,1,0,1,1
345,-,0,1,0,1,0
346,-,0,0,0,1,0
347,-,0,0,0,1,0
348,-,0,0,0,1,0
349,-,0,0,0,1,0
350,-,0,0,0,1,0
351,B,-1,0,3,1,1
352,-,0,0,0,1,1
353,-,0,0,0,1,1
354,-,0,1,0,1,0
355,C,-1,0,2,1,1
356,-,0,0,0,1,1
357,-,0,1,0,1,0
358,-,0,0,0,1,0
359,-,0,0,0,1,0
360,-,0,0,0,1,0
361,-,0,0,0,1,0
362,-,0,0,0,1,0
363,-,0,0,0,1,0
364,A,-1,0,3,1,1
365,-,0,0,0,1,1
366,-,0,0,0,1,1
367,-,0,1,0,1,0
368,-,0,0,0,1,0
369,-,0,0,0,1,0
370,-,0,0,0,1,0
371,B,-1,0,2,1,1
372,-,0,0,0,1,1
373,-,0,1,0,1,0
374,-,0,0,0,1,0
375,-,0,0,0,1,0
376,-,0,0,0,1,0
377,-,0,0,0,1,0
378,-,0,0,0,1,0
379,-,0,0,0,1,0
380,C,-1,0,3,1,1
381,-,0,0,0,1,1
382,-,0,0,0,1,1
383,A,1,1,2,1,1
384,-,0,0,0,1,1
385,-,0,-1,0,1,0
386,-,0,0,0,1,0
387,-,0,0,0,1,0
388,B,-1,0,3,1,1
389,-,0,0,0,1,1
390,C,-1,0,2,1,2
391,-,0,1,0,1,1
392,A,1,1,2,1,1
393,-,0,0,0,1,1
394,-,0,-1,0,1,0
395,-,0,0,0,1,0
396,-,0,0,0,1,0
397,-,0,0,0,1,0
398,-,0,0,0,1,0
399,-,0,0,0,1,0
400,-,0,0,0,1,0
401,-,0,0,0,1,0
402,-,0,0,0,1,0
403,-,0,0,0,1,0
404,-,0,0,0,1,0
405,-,0,0,0,1,0
406,-,0,0,0,1,0
407,-,0,0,0,1,0
408,-,0,0,0,1,0
409,-,0,0,0,1,0
410,-,0,0,0,1,0
411,-,0,0,0,1,0
412,-,0,0,0,1,0
413,-,0,0,0,1,0
414,-,0,0,0,1,0
415,-,0,0,0,1,0
416,-,0,0,0,1,0
417,-,0,0,0,1,0
418,-,0,0,0,1,0
419,-,0,0,0,1,0
420,-,0,0,0,1,0
421,B,-1,0,1,1,1
422,-,0,1,0,1,0
423,C,1,0,3,1,1
424,-,0,0,0,1,1
425,-,0,0,0,1,1
426,-,0,-1,0,1,0
427,-,0,0,0,1,0
428,-,0,0,0,1,0
429,-,0,0,0,1,0
430,-,0,0,0,1,0
431,-,0,0,0,1,0
432,-,0,0,0,1,0
433,A,-1,0,2,1,1
434,-,0,0,0,1,1
435,-,0,1,0,1,0
436,-,0,0,0,1,0
437,B,-1,0,3,1,1
438,C,-1,0,4,1,2
439,-,0,0,0,1,2
440,-,0,1,0,1,1
441,-,0,0,0,1,1
442,A,1,1,2,1,1
443,-,0,0,0,1,1
444,B,1,-1,3,1,1
445,-,0,0,0,1,1
446,-,0,0,0,1,1
447,-,0,-1,0,1,0
448,-,0,0,0,1,0
449,C,1,0,2,0,1
450,A,1,0,4,0,2
451,B,1,-1,2,0,2
452,C,1,0,2,0,3
453,A,-1,-1,3,0,3
454,-,0,-2,0,0,1
455,-,0,0,0,0,1
456,-,0,1,0,0,0
457,B,1,0,2,0,1
458,C,1,0,1,0,2
459,-,0,-2,0,0,0
460,-,0,0,0,0,0
461,-,0,0,0,0,0
462,-,0,0,0,0,0
463,A,1,0,3,0,1
464,B,-1,0,2,0,2
465,C,1,0,2,0,3
466,-,0,0,0,0,1
467,-,0,-1,0,0,0
468,-,0,0,0,0,0
469,-,0,0,0,0,0
470,A,1,0,3,0,1
471,-,0,0,0,0,1
472,-,0,0,0,0,1
473,B,-1,-1,1,0,1
474,C,1,1,4,0,1
475,-,0,0,0,0,1
476,A,1,0,3,0,2
477,B,-1,0,2,0,3
478,-,0,-1,0,0,2
479,-,0,0,0,0,0
480,-,0,0,0,0,0
481,-,0,0,0,0,0
482,-,0,0,0,0,0
483,-,0,0,0,0,0
484,C,1,0,3,0,1
485,A,-1,0,2,0,2
486,-,0,0,0,0,2
487,-,0,0,0,0,0
488,-,0,0,0,0,0
489,B,-1,0,2,0,1
490,-,0,0,0,0,1
491,C,1,1,3,0,1
492,-,0,0,0,0,1
493,A,-1,0,2,0,2
494,B,1,-1,2,0,2
495,-,0,1,0,0,1
496,-,0,-1,0,0,0
497,C,1,0,2,0,1
498,A,1,0,4,0,2
499,B,1,-1,3,1,2
500,-,0,0,0,1,2
501,-,0,0,0,1,2
502,-,0,-2,0,1,0
503,-,0,0,0,1,0
504,-,0,0,0,1,0
505,-,0,0,0,1,0
506,-,0,0,0,1,0
507,-,0,0,0,1,0
508,-,0,0,0,1,0
509,-,0,0,0,1,0
510,-,0,0,0,1,0
511,-,0,0,0,1,0
512,C,-1,0,3,1,1
513,-,0,0,0,1,1
514,-,0,0,0,1,1
515,-,0,1,0,1,0
516,-,0,0,0,1,0
517,-,0,0,0,1,0
518,A,1,0,2,1,1
519,B,1,0,3,1,2
520,C,-1,-1,2,1,2
521,A,-1,0,1,1,3
522,B,1,1,3,1,1
523,-,0,0,0,1,1
524,-,0,0,0,1,1
525,-,0,-1,0,1,0
526,-,0,0,0,1,0
527,C,1,0,1,1,1
528,-,0,-1,0,1,0
529,-,0,0,0,1,0
530,-,0,0,0,1,0
531,-,0,0,0,1,0
532,-,0,0,0,1,0
533,A,1,0,2,1,1
534,-,0,0,0,1,1
535,-,0,-1,0,1,0
536,-,0,0,0,1,0
537,-,0,0,0,1,0
538,B,-1,0,2,1,1
539,C,1,0,1,1,2
540,-,0,0,0,1,0
541,A,-1,0,1,1,1
542,-,0,1,0,1,0
543,-,0,0,0,1,0
544,-,0,0,0,1,0
545,-,0,0,0,1,0
546,B,-1,0,2,1,1
547,-,0,0,0,1,1
548,-,0,1,0,1,0
549,-,0,0,0,1,0
550,-,0,0,0,1,0
551,C,-1,0,3,1,1
552,A,-1,0,2,1,2
553,B,1,0,2,1,3
554,C,-1,2,2,1,2
555,-,0,-1,0,1,1
556,A,-1,1,2,1,1
557,B,-1,0,2,1,2
558,-,0,1,0,1,1
559,-,0,1,0,1,0
560,C,-1,0,2,1,1
561,-,0,0,0,1,1
562,-,0,1,0,1,0
563,-,0,0,0,1,0
564,-,0,0,0,1,0
565,-,0,0,0,1,0
566,-,0,0,0,1,0
567,A,1,0,2,1,1
568,B,1,0,2,1,2
569,-,0,-1,0,1,1
570,-,0,-1,0,1,0
571,-,0,0,0,1,0
572,-,0,0,0,1,0
573,-,0,0,0,1,0
574,-,0,0,0,1,0
575,C,-1,0,3,1,1
576,-,0,0,0,1,1
577,A,-1,0,1,1,2
578,-,0,2,0,1,0
579,-,0,0,0,1,0
580,B,1,0,2,1,1
581,-,0,0,0,1,1
582,-,0,-1,0,1,0
583,-,0,0,0,1,0
584,-,0,0,0,1,0
585,-,0,0,0,1,0
586,-,0,0,0,1,0
587,-,0,0,0,1,0
588,-,0,0,0,1,0
589,-,0,0,0,1,0
590,-,0,0,0,1,0
591,-,0,0,0,1,0
592,C,-1,0,2,1,1
593,A,1,0,4,1,2
594,-,0,1,0,1,1
595,B,-1,0,3,1,2
596,-,0,0,0,1,2
597,-,0,-1,0,1,1
598,-,0,1,0,1,0
599,C,1,0,2,1,1
600,-,0,0,0,1,1
601,-,0,-1,0,1,0
602,-,0,0,0,1,0
603,-,0,0,0,1,0
604,-,0,0,0,1,0
605,A,-1,0,2,1,1
606,-,0,0,0,1,1
607,B,1,1,2,1,1
608,-,0,0,0,1,1
609,-,0,-1,0,1,0
610,C,-1,0,1,1,1
611,-,0,1,0,1,0
612,-,0,0,0,1,0
613,A,1,0,3,1,1
614,B,-1,0,1,1,2
615,-,0,1,0,1,1
616,-,0,-1,0,1,0
617,C,-1,0,3,1,1
618,-,0,0,0,1,1
619,A,1,0,3,1,2
620,-,0,1,0,1,1
621,-,0,0,0,1,1
622,B,1,-1,2,1,1
623,C,-1,0,2,1,2
624,-,0,-1,0,1,1
625,A,-1,1,4,1,1
626,B,-1,0,3,1,2
627,C,-1,0,2,1,3
628,-,0,0,0,1,3
629,A,1,3,2,1,1
630,-,0,0,0,1,1
631,-,0,-1,0,1,0
632,-,0,0,0,1,0
633,-,0,0,0,1,0
634,-,0,0,0,1,0
635,-,0,0,0,1,0
636,B,-1,0,4,1,1
637,-,0,0,0,1,1
638,-,0,0,0,1,1
639,C,-1,0,2,1,2
640,A,1,1,2,1,2
641,B,-1,1,2,1,2
642,-,0,-1,0,1,1
643,-,0,1,0,1,0
644,-,0,0,0,1,0
645,C,-1,0,3,1,1
646,-,0,0,0,1,1
647,-,0,0,0,1,1
648,-,0,1,0,1,0
649,-,0,0,0,1,0
650,A,-1,0,3,1,1
651,-,0,0,0,1,1
652,-,0,0,0,1,1
653,B,-1,1,2,1,1
654,-,0,0,0,1,1
655,-,0,1,0,1,0
656,C,-1,0,3,1,1
657,-,0,0,0,1,1
658,-,0,0,0,1,1
659,-,0,1,0,1,0
660,-,0,0,0,1,0
661,-,0,0,0,1,0
662,-,0,0,0,1,0
663,A,1,0,3,1,1
664,-,0,0,0,1,1
665,-,0,0,0,1,1
666,B,-1,-1,4,1,1
667,C,1,0,2,1,2
668,-,0,0,0,1,2
669,A,-1,-1,2,1,2
670,-,0,1,0,1,1
671,B,-1,1,4,1,1
672,C,1,0,4,1,2
673,-,0,0,0,1,2
674,A,1,0,3,1,3
675,B,1,1,2,1,3
676,-,0,-1,0,1,2
677,-,0,-2,0,1,0
678,C,-1,0,3,1,1
679,-,0,0,0,1,1
680,-,0,0,0,1,1
681,-,0,1,0,1,0
682,A,1,0,3,1,1
683,B,-1,0,2,1,2
684,-,0,0,0,1,2
685,-,0,0,0,1,0
686,-,0,0,0,1,0
687,-,0,0,0,1,0
688,-,0,0,0,1,0
689,C,-1,0,1,1,1
690,-,0,1,0,1,0
691,-,0,0,0,1,0
692,-,0,0,0,1,0
693,-,0,0,0,1,0
694,A,-1,0,2,1,1
695,-,0,0,0,1,1
696,B,1,1,2,1,1
697,-,0,0,0,1,1
698,-,0,-1,0,1,0
699,-,0,0,0,1,0
700,-,0,0,0,1,0
701,-,0,0,0,1,0
702,-,0,0,0,1,0
703,-,0,0,0,1,0
704,-,0,0,0,1,0
705,-,0,0,0,1,0
706,C,-1,0,4,1,1
707,-,0,0,0,1,1
708,-,0,0,0,1,1
709,-,0,0,0,1,1
710,A,-1,1,2,1,1
711,-,0,0,0,1,1
712,B,-1,1,2,1,1
713,-,0,0,0,1,1
714,-,0,1,0,1,0
715,-,0,0,0,1,0
716,-,0,0,0,1,0
717,-,0,0,0,1,0
718,-,0,0,0,1,0
719,-,0,0,0,1,0
720,-,0,0,0,1,0
721,-,0,0,0,1,0
722,-,0,0,0,1,0
723,C,1,0,4,1,1
724,-,0,0,0,1,1
725,-,0,0,0,1,1
726,-,0,0,0,1,1
727,A,-1,-1,4,1,1
728,B,-1,0,4,1,2
729,-,0,0,0,1,2
730,-,0,0,0,1,2
731,-,0,1,0,1,1
732,-,0,1,0,1,0
733,C,1,0,2,1,1
734,A,1,0,2,1,2
735,-,0,-1,0,1,1
736,-,0,-1,0,1,0
737,B,-1,0,3,1,1
738,-,0,0,0,1,1
739,-,0,0,0,1,1
740,-,0,1,0,1,0
741,-,0,0,0,1,0
742,-,0,0,0,1,0
743,-,0,0,0,1,0
744,-,0,0,0,1,0
745,C,-1,0,3,1,1
746,-,0,0,0,1,1
747,A,-1,0,2,1,2
748,-,0,1,0,1,1
749,-,0,1,0,1,0
750,-,0,0,0,1,0
751,-,0,0,0,1,0
752,-,0,0,0,1,0
753,-,0,0,0,1,0
754,-,0,0,0,1,0
755,-,0,0,0,1,0
756,-,0,0,0,1,0
757,-,0,0,0,1,0
758,B,1,0,1,1,1
759,-,0,-1,0,1,0
760,-,0,0,0,1,0
761,C,1,0,1,1,1
762,-,0,-1,0,1,0
763,A,-1,0,1,1,1
764,-,0,1,0,1,0
765,-,0,0,0,1,0
766,-,0,0,0,1,0
767,B,-1,0,4,1,1
768,-,0,0,0,1,1
769,C,1,0,4,1,2
770,-,0,0,0,1,2
771,-,0,1,0,1,1
772,-,0,0,0,1,1
773,-,0,-1,0,1,0
774,A,-1,0,2,1,1
775,-,0,0,0,1,1
776,B,1,1,3,1,1
777,-,0,0,0,1,1
778,-,0,0,0,1,1
779,-,0,-1,0,1,0
780,-,0,0,0,1,0
781,-,0,0,0,1,0
782,C,1,0,2,1,1
783,-,0,0,0,1,1
784,-,0,-1,0,1,0
785,-,0,0,0,1,0
786,-,0,0,0,1,0
787,-,0,0,0,1,0
788,A,-1,0,2,1,1
789,-,0,0,0,1,1
790,-,0,1,0,1,0
791,-,0,0,0,1,0
792,B,-1,0,1,1,1
793,-,0,1,0,1,0
794,-,0,0,0,1,0
795,-,0,0,0,1,0
796,-,0,0,0,1,0
797,-,0,0,0,1,0
798,-,0,0,0,1,0
799,-,0,0,0,1,0
800,-,0,0,0,1,0
801,C,1,0,2,1,1
802,-,0,0,0,1,1
803,-,0,-1,0,1,0
804,A,-1,0,2,1,1
805,-,0,0,0,1,1
806,B,1,1,4,1,1
807,-,0,0,0,1,1
808,-,0,0,0,1,1
809,-,0,0,0,1,1
810,C,-1,-1,4,1,1
811,-,0,0,0,1,1
812,A,-1,0,3,1,2
813,-,0,0,0,1,2
814,-,0,1,0,1,1
815,-,0,1,0,1,0
816,B,-1,0,2,1,1
817,-,0,0,0,1,1
818,-,0,1,0,1,0
819,-,0,0,0,1,0
820,-,0,0,0,1,0
821,-,0,0,0,1,0
822,-,0,0,0,1,0
823,C,-1,0,3,1,1
824,A,-1,0,3,1,2
825,-,0,0,0,1,2
826,B,1,1,2,1,2
827,C,-1,1,2,1,2
828,-,0,-1,0,1,1
829,-,0,1,0,1,0
830,-,0,0,0,1,0
831,-,0,0,0,1,0
832,-,0,0,0,1,0
833,-,0,0,0,1,0
834,-,0,0,0,1,0
835,-,0,0,0,1,0
836,-,0,0,0,1,0
837,A,-1,0,3,1,1
838,-,0,0,0,1,1
839,-,0,0,0,1,1
840,B,-1,1,2,1,1
841,-,0,0,0,1,1
842,C,1,1,3,1,1
843,-,0,0,0,1,1
844,-,0,0,0,1,1
845,-,0,-1,0,1,0
846,-,0,0,0,1,0
847,-,0,0,0,1,0
848,-,0,0,0,1,0
849,A,-1,0,2,1,1
850,-,0,0,0,1,1
851,-,0,1,0,1,0
852,-,0,0,0,1,0
853,-,0,0,0,1,0
854,-,0,0,0,1,0
855,B,-1,0,2,1,1
856,-,0,0,0,1,1
857,-,0,1,0,1,0
858,-,0,0,0,1,0
859,-,0,0,0,1,0
860,C,-1,0,2,1,1
861,-,0,0,0,1,1
862,-,0,1,0,1,0
863,-,0,0,0,1,0
864,-,0,0,0,1,0
865,-,0,0,0,1,0
866,-,0,0,0,1,0
867,-,0,0,0,1,0
868,-,0,0,0,1,0
869,-,0,0,0,1,0
870,-,0,0,0,1,0
871,A,-1,0,1,1,1
872,-,0,1,0,1,0
873,B,-1,0,2,1,1
874,-,0,0,0,1,1
875,-,0,1,0,1,0
876,C,1,0,2,1,1
877,-,0,0,0,1,1
878,-,0,-1,0,1,0
879,-,0,0,0,1,0
880,-,0,0,0,1,0
881,-,0,0,0,1,0
882,A,-1,0,3,1,1
883,-,0,0,0,1,1
884,-,0,0,0,1,1
885,-,0,1,0,1,0
886,B,-1,0,2,1,1
887,-,0,0,0,1,1
888,C,-1,1,2,1,1
889,A,-1,0,2,1,2
890,-,0,1,0,1,1
891,B,-1,1,4,1,1
892,-,0,0,0,1,1
893,-,0,0,0,1,1
894,-,0,0,0,1,1
895,-,0,1,0,1,0
896,-,0,0,0,1,0
897,-,0,0,0,1,0
898,-,0,0,0,1,0
899,-,0,0,0,1,0
900,C,1,0,1,1,1
901,-,0,-1,0,1,0
902,-,0,0,0,1,0
903,-,0,0,0,1,0
904,-,0,0,0,1,0
905,-,0,0,0,1,0
906,-,0,0,0,1,0
907,-,0,0,0,1,0
908,-,0,0,0,1,0
909,-,0,0,0,1,0
910,-,0,0,0,1,0
911,A,-1,0,2,1,1
912,-,0,0,0,1,1
913,-,0,1,0,1,0
914,-,0,0,0,1,0
915,-,0,0,0,1,0
916,B,-1,0,4,1,1
917,C,-1,0,3,1,2
918,-,0,0,0,1,2
919,-,0,0,0,1,2
920,-,0,2,0,1,0
921,A,-1,0,1,1,1
922,-,0,1,0,1,0
923,-,0,0,0,1,0
924,-,0,0,0,1,0
925,-,0,0,0,1,0
926,B,1,0,2,1,1
927,-,0,0,0,1,1
928,-,0,-1,0,1,0
929,-,0,0,0,1,0
930,C,1,0,4,1,1
931,-,0,0,0,1,1
932,-,0,0,0,1,1
933,-,0,0,0,1,1
934,-,0,-1,0,1,0
935,-,0,0,0,1,0
936,A,1,0,2,1,1
937,-,0,0,0,1,1
938,B,-1,-1,2,1,1
939,C,-1,0,3,1,2
940,-,0,1,0,1,1
941,-,0,0,0,1,1
942,-,0,1,0,1,0
943,A,1,0,2,1,1
944,-,0,0,0,1,1
945,-,0,-1,0,1,0
946,-,0,0,0,1,0
947,-,0,0,0,1,0
948,-,0,0,0,1,0
949,-,0,0,0,1,0
950,-,0,0,0,1,0
951,-,0,0,0,1,0
952,-,0,0,0,1,0
953,-,0,0,0,1,0
954,-,0,0,0,1,0
955,-,0,0,0,1,0
956,-,0,0,0,1,0
957,-,0,0,0,1,0
958,-,0,0,0,1,0
959,-,0,0,0,1,0
960,B,-1,0,3,1,1
961,-,0,0,0,1,1
962,-,0,0,0,1,1
963,-,0,1,0,1,0
964,-,0,0,0,1,0
965,-,0,0,0,1,0
966,-,0,0,0,1,0
967,-,0,0,0,1,0
968,-,0,0,0,1,0
969,-,0,0,0,1,0
970,C,-1,0,2,1,1
971,A,-1,0,1,1,2
972,B,1,2,2,1,1
973,-,0,0,0,1,1
974,-,0,-1,0,1,0
975,-,0,0,0,1,0
